source_entity_type,relationship_type,target_entity_type,semantic_rule
CASE,CONTAINS_EVENT,EVENT,Legal CKG relation: CONTAINS_EVENT between CASE and EVENT.
CASE,ASSOCIATED_WITH,EVENT,Legal CKG relation: ASSOCIATED_WITH between CASE and EVENT.
CASE,OCCURRED_AT,LOCATION,Legal CKG relation: OCCURRED_AT between CASE and LOCATION.
CASE,ASSOCIATED_WITH,LOCATION,Legal CKG relation: ASSOCIATED_WITH between CASE and LOCATION.
CASE,LINKED_TO_ORGANIZATION,ORGANIZATION,Legal CKG relation: LINKED_TO_ORGANIZATION between CASE and ORGANIZATION.
CASE,ASSOCIATED_WITH,ORGANIZATION,Legal CKG relation: ASSOCIATED_WITH between CASE and ORGANIZATION.
CASE,LINKED_TO_PERSON,PERSON,Legal CKG relation: LINKED_TO_PERSON between CASE and PERSON.
CASE,ASSOCIATED_WITH,PERSON,Legal CKG relation: ASSOCIATED_WITH between CASE and PERSON.
CASE,ASSOCIATED_WITH,PHONE,Legal CKG relation: ASSOCIATED_WITH between CASE and PHONE.
CASE,ASSOCIATED_WITH,VEHICLE,Legal CKG relation: ASSOCIATED_WITH between CASE and VEHICLE.
CRIME,ASSOCIATED_WITH,ACCOUNT,Legal CKG relation: ASSOCIATED_WITH between CRIME and ACCOUNT.
CRIME,PART_OF_CASE,CASE,Legal CKG relation: PART_OF_CASE between CRIME and CASE.
CRIME,ASSOCIATED_WITH,CRIME,Legal CKG relation: ASSOCIATED_WITH between CRIME and CRIME.
CRIME,ASSOCIATED_WITH,EVENT,Legal CKG relation: ASSOCIATED_WITH between CRIME and EVENT.
CRIME,OCCURRED_AT,LOCATION,Legal CKG relation: OCCURRED_AT between CRIME and LOCATION.
CRIME,ASSOCIATED_WITH,LOCATION,Legal CKG relation: ASSOCIATED_WITH between CRIME and LOCATION.
CRIME,ASSOCIATED_WITH,ORGANIZATION,Legal CKG relation: ASSOCIATED_WITH between CRIME and ORGANIZATION.
CRIME,INVOLVES_PERSON,PERSON,Legal CKG relation: INVOLVES_PERSON between CRIME and PERSON.
CRIME,ASSOCIATED_WITH,PERSON,Legal CKG relation: ASSOCIATED_WITH between CRIME and PERSON.
CRIME,ASSOCIATED_WITH,PHONE,Legal CKG relation: ASSOCIATED_WITH between CRIME and PHONE.
CRIME,ASSOCIATED_WITH,VEHICLE,Legal CKG relation: ASSOCIATED_WITH between CRIME and VEHICLE.
EVENT,ASSOCIATED_WITH,ACCOUNT,Legal CKG relation: ASSOCIATED_WITH between EVENT and ACCOUNT.
EVENT,PART_OF_CASE,CASE,Legal CKG relation: PART_OF_CASE between EVENT and CASE.
EVENT,ASSOCIATED_WITH,CRIME,Legal CKG relation: ASSOCIATED_WITH between EVENT and CRIME.
EVENT,ASSOCIATED_WITH,EVENT,Legal CKG relation: ASSOCIATED_WITH between EVENT and EVENT.
EVENT,OCCURRED_AT,LOCATION,Legal CKG relation: OCCURRED_AT between EVENT and LOCATION.
EVENT,ASSOCIATED_WITH,LOCATION,Legal CKG relation: ASSOCIATED_WITH between EVENT and LOCATION.
EVENT,ASSOCIATED_WITH,ORGANIZATION,Legal CKG relation: ASSOCIATED_WITH between EVENT and ORGANIZATION.
EVENT,INVOLVES_PERSON,PERSON,Legal CKG relation: INVOLVES_PERSON between EVENT and PERSON.
EVENT,ASSOCIATED_WITH,PERSON,Legal CKG relation: ASSOCIATED_WITH between EVENT and PERSON.
EVENT,ASSOCIATED_WITH,PHONE,Legal CKG relation: ASSOCIATED_WITH between EVENT and PHONE.
EVENT,ASSOCIATED_WITH,VEHICLE,Legal CKG relation: ASSOCIATED_WITH between EVENT and VEHICLE.
LOCATION,ASSOCIATED_WITH,ACCOUNT,Legal CKG relation: ASSOCIATED_WITH between LOCATION and ACCOUNT.
LOCATION,ASSOCIATED_WITH,CASE,Legal CKG relation: ASSOCIATED_WITH between LOCATION and CASE.
LOCATION,ASSOCIATED_WITH,CRIME,Legal CKG relation: ASSOCIATED_WITH between LOCATION and CRIME.
LOCATION,ASSOCIATED_WITH,EVENT,Legal CKG relation: ASSOCIATED_WITH between LOCATION and EVENT.
LOCATION,ASSOCIATED_WITH,LOCATION,Legal CKG relation: ASSOCIATED_WITH between LOCATION and LOCATION.
LOCATION,ASSOCIATED_WITH,ORGANIZATION,Legal CKG relation: ASSOCIATED_WITH between LOCATION and ORGANIZATION.
LOCATION,ASSOCIATED_WITH,PERSON,Legal CKG relation: ASSOCIATED_WITH between LOCATION and PERSON.
LOCATION,ASSOCIATED_WITH,PHONE,Legal CKG relation: ASSOCIATED_WITH between LOCATION and PHONE.
LOCATION,OBSERVED_VEHICLE,VEHICLE,Legal CKG relation: OBSERVED_VEHICLE between LOCATION and VEHICLE.
LOCATION,ASSOCIATED_WITH,VEHICLE,Legal CKG relation: ASSOCIATED_WITH between LOCATION and VEHICLE.
ORGANIZATION,OWNS,ACCOUNT,Legal CKG relation: OWNS between ORGANIZATION and ACCOUNT.
ORGANIZATION,ASSOCIATED_WITH,ACCOUNT,Legal CKG relation: ASSOCIATED_WITH between ORGANIZATION and ACCOUNT.
ORGANIZATION,LINKED_TO_CASE,CASE,Legal CKG relation: LINKED_TO_CASE between ORGANIZATION and CASE.
ORGANIZATION,ASSOCIATED_WITH,CASE,Legal CKG relation: ASSOCIATED_WITH between ORGANIZATION and CASE.
ORGANIZATION,LINKED_TO_CRIME,CRIME,Legal CKG relation: LINKED_TO_CRIME between ORGANIZATION and CRIME.
ORGANIZATION,ASSOCIATED_WITH,CRIME,Legal CKG relation: ASSOCIATED_WITH between ORGANIZATION and CRIME.
ORGANIZATION,PARTICIPATED_IN_EVENT,EVENT,Legal CKG relation: PARTICIPATED_IN_EVENT between ORGANIZATION and EVENT.
ORGANIZATION,ASSOCIATED_WITH,EVENT,Legal CKG relation: ASSOCIATED_WITH between ORGANIZATION and EVENT.
ORGANIZATION,LOCATED_AT,LOCATION,Legal CKG relation: LOCATED_AT between ORGANIZATION and LOCATION.
ORGANIZATION,ASSOCIATED_WITH,LOCATION,Legal CKG relation: ASSOCIATED_WITH between ORGANIZATION and LOCATION.
ORGANIZATION,ASSOCIATED_WITH,ORGANIZATION,Legal CKG relation: ASSOCIATED_WITH between ORGANIZATION and ORGANIZATION.
ORGANIZATION,LINKED_TO,ORGANIZATION,Legal CKG relation: LINKED_TO between ORGANIZATION and ORGANIZATION.
ORGANIZATION,ASSOCIATED_WITH,PERSON,Legal CKG relation: ASSOCIATED_WITH between ORGANIZATION and PERSON.
ORGANIZATION,EMPLOYS,PERSON,Legal CKG relation: EMPLOYS between ORGANIZATION and PERSON.
ORGANIZATION,OWNS,PHONE,Legal CKG relation: OWNS between ORGANIZATION and PHONE.
ORGANIZATION,USES,PHONE,Legal CKG relation: USES between ORGANIZATION and PHONE.
ORGANIZATION,ASSOCIATED_WITH,PHONE,Legal CKG relation: ASSOCIATED_WITH between ORGANIZATION and PHONE.
ORGANIZATION,OWNS,VEHICLE,Legal CKG relation: OWNS between ORGANIZATION and VEHICLE.
ORGANIZATION,USES,VEHICLE,Legal CKG relation: USES between ORGANIZATION and VEHICLE.
ORGANIZATION,ASSOCIATED_WITH,VEHICLE,Legal CKG relation: ASSOCIATED_WITH between ORGANIZATION and VEHICLE.
PERSON,OWNS,ACCOUNT,Legal CKG relation: OWNS between PERSON and ACCOUNT.
PERSON,ASSOCIATED_WITH,ACCOUNT,Legal CKG relation: ASSOCIATED_WITH between PERSON and ACCOUNT.
PERSON,LINKED_TO_CASE,CASE,Legal CKG relation: LINKED_TO_CASE between PERSON and CASE.
PERSON,PARTICIPATED_IN_EVENT,CASE,Legal CKG relation: PARTICIPATED_IN_EVENT between PERSON and CASE.
PERSON,INVOLVED_IN_CRIME,CRIME,Legal CKG relation: INVOLVED_IN_CRIME between PERSON and CRIME.
PERSON,ASSOCIATED_WITH,CRIME,Legal CKG relation: ASSOCIATED_WITH between PERSON and CRIME.
PERSON,PARTICIPATED_IN_EVENT,EVENT,Legal CKG relation: PARTICIPATED_IN_EVENT between PERSON and EVENT.
PERSON,ASSOCIATED_WITH,EVENT,Legal CKG relation: ASSOCIATED_WITH between PERSON and EVENT.
PERSON,LOCATED_AT,LOCATION,Legal CKG relation: LOCATED_AT between PERSON and LOCATION.
PERSON,VISITED,LOCATION,Legal CKG relation: VISITED between PERSON and LOCATION.
PERSON,ASSOCIATED_WITH,LOCATION,Legal CKG relation: ASSOCIATED_WITH between PERSON and LOCATION.
PERSON,WORKS_FOR,ORGANIZATION,Legal CKG relation: WORKS_FOR between PERSON and ORGANIZATION.
PERSON,MEMBER_OF,ORGANIZATION,Legal CKG relation: MEMBER_OF between PERSON and ORGANIZATION.
PERSON,ASSOCIATED_WITH,ORGANIZATION,Legal CKG relation: ASSOCIATED_WITH between PERSON and ORGANIZATION.
PERSON,KNOWS,PERSON,Legal CKG relation: KNOWS between PERSON and PERSON.
PERSON,CONTACTED,PERSON,Legal CKG relation: CONTACTED between PERSON and PERSON.
PERSON,ASSOCIATED_WITH,PERSON,Legal CKG relation: ASSOCIATED_WITH between PERSON and PERSON.
PERSON,USES,PHONE,Legal CKG relation: USES between PERSON and PHONE.
PERSON,OWNS,PHONE,Legal CKG relation: OWNS between PERSON and PHONE.
PERSON,ASSOCIATED_WITH,PHONE,Legal CKG relation: ASSOCIATED_WITH between PERSON and PHONE.
PERSON,OWNS,VEHICLE,Legal CKG relation: OWNS between PERSON and VEHICLE.
PERSON,USES,VEHICLE,Legal CKG relation: USES between PERSON and VEHICLE.
PERSON,ASSOCIATED_WITH,VEHICLE,Legal CKG relation: ASSOCIATED_WITH between PERSON and VEHICLE.
PHONE,ASSOCIATED_WITH,ACCOUNT,Legal CKG relation: ASSOCIATED_WITH between PHONE and ACCOUNT.
PHONE,LINKED_TO_CASE,CASE,Legal CKG relation: LINKED_TO_CASE between PHONE and CASE.
PHONE,ASSOCIATED_WITH,CASE,Legal CKG relation: ASSOCIATED_WITH between PHONE and CASE.
PHONE,ASSOCIATED_WITH,CRIME,Legal CKG relation: ASSOCIATED_WITH between PHONE and CRIME.
PHONE,ASSOCIATED_WITH,EVENT,Legal CKG relation: ASSOCIATED_WITH between PHONE and EVENT.
PHONE,ASSOCIATED_WITH,LOCATION,Legal CKG relation: ASSOCIATED_WITH between PHONE and LOCATION.
PHONE,LOCATED_AT,LOCATION,Legal CKG relation: LOCATED_AT between PHONE and LOCATION.
PHONE,ASSOCIATED_WITH,ORGANIZATION,Legal CKG relation: ASSOCIATED_WITH between PHONE and ORGANIZATION.
PHONE,USED_BY,PERSON,Legal CKG relation: USED_BY between PHONE and PERSON.
PHONE,ASSOCIATED_WITH,PERSON,Legal CKG relation: ASSOCIATED_WITH between PHONE and PERSON.
PHONE,CONTACTED,PHONE,Legal CKG relation: CONTACTED between PHONE and PHONE.
PHONE,ASSOCIATED_WITH,PHONE,Legal CKG relation: ASSOCIATED_WITH between PHONE and PHONE.
PHONE,ASSOCIATED_WITH,VEHICLE,Legal CKG relation: ASSOCIATED_WITH between PHONE and VEHICLE.
VEHICLE,ASSOCIATED_WITH,ACCOUNT,Legal CKG relation: ASSOCIATED_WITH between VEHICLE and ACCOUNT.
VEHICLE,LINKED_TO_CASE,CASE,Legal CKG relation: LINKED_TO_CASE between VEHICLE and CASE.
VEHICLE,ASSOCIATED_WITH,CASE,Legal CKG relation: ASSOCIATED_WITH between VEHICLE and CASE.
VEHICLE,ASSOCIATED_WITH,CRIME,Legal CKG relation: ASSOCIATED_WITH between VEHICLE and CRIME.
VEHICLE,ASSOCIATED_WITH,EVENT,Legal CKG relation: ASSOCIATED_WITH between VEHICLE and EVENT.
VEHICLE,OBSERVED_AT,LOCATION,Legal CKG relation: OBSERVED_AT between VEHICLE and LOCATION.
VEHICLE,ASSOCIATED_WITH,LOCATION,Legal CKG relation: ASSOCIATED_WITH between VEHICLE and LOCATION.
VEHICLE,ASSOCIATED_WITH,ORGANIZATION,Legal CKG relation: ASSOCIATED_WITH between VEHICLE and ORGANIZATION.
VEHICLE,OWNED_BY,ORGANIZATION,Legal CKG relation: OWNED_BY between VEHICLE and ORGANIZATION.
VEHICLE,ASSOCIATED_WITH,PERSON,Legal CKG relation: ASSOCIATED_WITH between VEHICLE and PERSON.
VEHICLE,USED_BY,PERSON,Legal CKG relation: USED_BY between VEHICLE and PERSON.
VEHICLE,ASSOCIATED_WITH,PHONE,Legal CKG relation: ASSOCIATED_WITH between VEHICLE and PHONE.
VEHICLE,ASSOCIATED_WITH,VEHICLE,Legal CKG relation: ASSOCIATED_WITH between VEHICLE and VEHICLE.
