vehicle_id,registration_number,vehicle_type,make,model,manufacturing_year,color,owner_person_id,owner_organization_id,registration_date,status,source_id,confidence_score,created_at,updated_at
V00037,DL32EF8573,Truck,Hyundai,Nexon,2020,Blue,P01049,,2021-01-21,Flagged,SRC017,0.94,2025-11-30 04:41:14,2026-03-23 21:44:06
V00038,UP81JK7158,Auto Rickshaw,Mahindra,Nexon,2014,White,P02572,,2020-02-29,Flagged,SRC015,0.81,2026-02-15 19:11:03,2026-05-29 06:31:54
V00039,RJ81JK2977,Van,Bajaj,Nexon,2017,Red,P00094,,2020-06-14,Active,SRC011,0.86,2025-04-13 07:23:12,2025-04-06 21:07:51
V00040,MP83JK2905,Motorcycle,Hero,Splendor,2020,White,P00467,,2019-03-14,Inactive,SRC028,0.82,2024-01-31 03:28:19,2024-09-17 09:56:29
V00041,UP35EF3077,SUV,Bajaj,Splendor,2020,Red,P02060,,2026-01-12,Active,SRC002,0.85,2025-07-23 01:01:50,2026-08-27 04:08:50
V00042,UP45JK8270,Van,Toyota,Splendor,2015,Black,P00570,,2022-11-09,Inactive,SRC009,0.86,2025-07-13 04:14:46,2025-09-19 04:38:54
V00043,UP57JK6781,Car,Bajaj,Creta,2018,Blue,P01235,,2019-03-08,Flagged,SRC001,0.98,2026-03-08 21:40:12,2026-02-01 06:52:10
V00044,KA91EF1459,Auto Rickshaw,Maruti Suzuki,Innova,2018,Red,P03400,,2017-04-16,Inactive,SRC010,0.96,2025-02-24 07:50:09,2024-12-20 23:43:28
V00045,KA48CD2794,Van,Toyota,Scorpio,2022,Blue,P02659,,2020-02-23,Inactive,SRC027,0.95,2024-03-08 20:54:50,2025-04-24 22:32:27
V00046,UP75AB8495,Van,Bajaj,Pulsar,2021,Silver,P00890,,2024-12-29,Flagged,SRC005,0.96,2026-03-17 06:20:06,2024-04-01 05:52:41
V00047,MP31AB6255,Van,Hero,Swift,2020,Silver,P00745,,2025-08-14,Flagged,SRC003,0.82,2024-05-13 15:01:10,2026-08-05 04:59:17
V00048,UP08GH8170,Truck,Mahindra,Pulsar,2017,Silver,P01511,,2017-11-26,Active,SRC022,0.95,2025-10-13 16:24:54,2024-02-08 11:04:00
V00049,MP14JK3278,Motorcycle,Hero,Creta,2020,Grey,P02096,,2021-12-30,Active,SRC007,0.96,2024-05-01 05:56:41,2026-05-21 23:48:23
V00050,GJ24GH1020,Car,Hero,Splendor,2016,Grey,P00938,,2023-08-31,Inactive,SRC011,0.9,2025-04-19 05:08:34,2025-10-02 19:50:12
V00051,MH56AB4111,SUV,Honda,Nexon,2021,White,P00836,,2024-10-21,Active,SRC022,0.99,2025-04-17 02:29:25,2024-02-15 15:24:12
V00052,MH28CD3172,Auto Rickshaw,Maruti Suzuki,Swift,2016,Silver,,O0283,2017-12-02,Flagged,SRC008,0.81,2025-09-17 22:28:02,2026-05-09 19:18:56
V00053,KA52GH6060,Car,Hero,Creta,2022,Red,P03561,,2026-01-18,Inactive,SRC008,0.84,2025-09-25 20:09:28,2024-09-27 11:33:45
V00054,RJ38JK4603,SUV,Bajaj,Nexon,2025,Blue,P01394,,2025-08-24,Inactive,SRC011,0.84,2025-04-16 18:38:15,2026-06-13 22:30:12
V00055,GJ70CD4895,Van,Honda,Nexon,2015,Silver,P02086,,2018-12-08,Active,SRC027,0.93,2024-09-17 15:35:34,2025-11-08 03:10:40
V00056,GJ47JK8648,Car,Bajaj,Pulsar,2017,Red,,O0213,2023-12-07,Flagged,SRC007,0.94,2025-11-14 00:10:19,2025-01-06 23:04:17
V00057,MH13GH9413,Car,Hero,Swift,2015,Blue,P00544,,2018-03-22,Active,SRC028,0.99,2025-06-30 08:36:48,2026-06-29 08:05:59
V00058,UP43EF9017,SUV,Hyundai,Nexon,2019,White,P03374,,2024-06-09,Active,SRC004,0.9,2025-07-30 06:56:38,2026-07-16 02:36:53
V00059,KA25EF1249,Auto Rickshaw,Hyundai,Splendor,2023,Red,P03636,,2019-09-01,Active,SRC019,0.97,2024-01-27 17:21:51,2025-04-08 03:24:39
V00060,KA44EF8757,Van,Bajaj,Pulsar,2016,Silver,P02857,,2022-01-24,Active,SRC014,0.89,2026-07-28 17:18:52,2025-10-16 21:41:05
V00061,MP96CD1707,Motorcycle,Honda,Innova,2025,Grey,P01989,,2022-03-18,Flagged,SRC009,0.82,2025-01-14 18:49:35,2024-08-17 01:12:11
V00062,GJ49EF3829,Motorcycle,Maruti Suzuki,Swift,2016,Black,,O0228,2020-11-12,Inactive,SRC006,0.82,2024-10-31 15:24:17,2025-10-09 03:01:51
V00063,MP52GH6097,Motorcycle,Mahindra,Scorpio,2025,Red,,O0231,2022-11-23,Inactive,SRC030,0.82,2026-06-28 23:41:44,2024-09-19 23:46:47
V00064,RJ81CD2072,Car,Hyundai,Innova,2016,Blue,P02541,,2022-11-20,Active,SRC015,0.94,2025-12-15 01:59:28,2025-02-19 18:58:43
V00065,DL88JK4478,Auto Rickshaw,Maruti Suzuki,Pulsar,2021,Grey,P03251,,2017-10-13,Flagged,SRC009,0.82,2025-01-26 12:15:54,2025-05-30 23:00:15
V00066,KA15AB9170,Auto Rickshaw,Mahindra,Creta,2014,White,P02925,,2016-11-14,Active,SRC020,0.96,2026-02-13 19:18:51,2025-04-05 13:50:12
V00067,UP34GH1587,Car,Toyota,Nexon,2024,White,P02790,,2024-03-06,Inactive,SRC019,0.86,2026-04-05 04:51:45,2025-10-04 14:58:54
V00068,DL52EF2457,Car,Mahindra,Innova,2017,Grey,P01711,,2018-02-04,Flagged,SRC021,0.83,2025-11-04 12:36:10,2024-03-19 15:54:30
V00069,UP68CD3992,Auto Rickshaw,Maruti Suzuki,Nexon,2019,Black,P02892,,2018-11-10,Active,SRC010,0.85,2024-05-01 13:45:24,2025-11-12 09:41:34
V00070,MP63GH8138,SUV,Hero,Splendor,2020,Silver,P03551,,2019-11-06,Inactive,SRC007,0.91,2024-01-28 11:56:54,2025-11-02 13:03:18
V00071,MH71JK2638,SUV,Bajaj,Scorpio,2015,Black,,O0489,2017-02-21,Flagged,SRC025,0.86,2024-07-02 23:15:38,2026-08-22 00:34:24
V00072,RJ34JK2078,Car,Bajaj,Swift,2025,Blue,P01062,,2021-03-08,Inactive,SRC022,0.95,2026-01-17 11:23:24,2024-12-10 10:06:32
V00073,MP72CD3375,Motorcycle,Mahindra,City,2024,Silver,P03886,,2025-10-24,Flagged,SRC019,0.95,2026-02-17 07:01:34,2025-11-02 15:37:25
V00074,UP86EF9779,SUV,Toyota,Pulsar,2023,Red,P03232,,2017-10-16,Inactive,SRC010,0.98,2025-02-05 12:56:45,2024-10-09 02:08:48
V00075,MH16EF8593,Motorcycle,Hyundai,City,2016,Grey,P01076,,2020-12-16,Flagged,SRC002,0.89,2024-09-02 01:07:42,2025-06-01 00:17:38
V00076,DL11EF4838,Truck,Tata,Splendor,2020,Silver,P03233,,2022-10-30,Flagged,SRC013,0.82,2025-08-21 06:12:37,2025-09-07 07:16:10
V00077,KA77EF6284,SUV,Toyota,Nexon,2019,Red,P00867,,2021-04-20,Flagged,SRC025,0.82,2024-08-16 07:53:37,2026-04-07 14:24:19
V00078,UP02GH8677,Van,Mahindra,Swift,2023,Red,P00708,,2020-02-13,Inactive,SRC018,0.81,2025-06-24 11:55:06,2025-08-21 23:56:15
V00079,KA28EF7559,Truck,Bajaj,Nexon,2014,Red,,O0314,2020-09-12,Inactive,SRC011,0.98,2025-11-05 10:14:42,2024-06-07 07:19:10
V00080,MP77AB4117,Truck,Tata,Creta,2022,Red,,O0289,2024-05-27,Active,SRC029,0.97,2024-10-17 05:47:47,2025-07-04 03:39:39
V00081,MH80JK5970,Truck,Toyota,Innova,2014,Silver,P01813,,2025-09-18,Active,SRC013,0.9,2026-05-27 03:11:18,2026-03-11 23:54:03
V00082,MP34GH3180,Van,Toyota,Pulsar,2024,Grey,P02805,,2018-10-06,Active,SRC003,0.89,2024-08-01 06:45:41,2026-01-17 01:28:13
V00083,RJ21GH3902,SUV,Mahindra,Creta,2018,Silver,,O0386,2019-08-30,Inactive,SRC014,0.97,2024-02-11 19:17:14,2024-02-28 06:22:16
V00084,KA35JK8411,SUV,Mahindra,Swift,2015,Silver,,O0043,2017-03-17,Inactive,SRC013,0.94,2024-08-19 04:04:41,2026-03-08 05:51:35
V00085,GJ42EF6466,Car,Hyundai,Nexon,2024,Black,P01072,,2023-04-21,Active,SRC003,0.97,2024-06-11 15:08:31,2025-06-01 08:54:49
V00086,DL83JK5864,Truck,Hyundai,Scorpio,2015,Black,,O0410,2024-09-28,Active,SRC012,0.97,2025-01-26 12:36:53,2026-01-21 06:59:52
V00087,DL67JK4837,Car,Tata,Nexon,2016,Red,P02268,,2019-06-11,Active,SRC006,0.94,2024-06-02 01:32:32,2026-02-24 05:11:51
V00088,MP64GH7677,Truck,Hero,Swift,2024,Grey,,O0450,2025-06-19,Flagged,SRC007,0.93,2025-08-25 10:43:59,2025-07-22 05:59:14
V00089,RJ91GH8346,SUV,Maruti Suzuki,Swift,2024,White,P00675,,2022-04-19,Flagged,SRC022,0.89,2024-10-26 04:04:36,2024-09-12 18:28:49
V00090,UP38JK7709,Motorcycle,Toyota,Innova,2023,White,P02830,,2019-12-04,Flagged,SRC004,0.83,2025-04-07 06:04:15,2026-06-23 13:43:56
V00091,MH07AB3650,SUV,Mahindra,City,2024,Black,P01362,,2022-03-27,Inactive,SRC024,0.85,2025-10-05 15:16:48,2026-02-17 23:05:02
V00092,RJ08GH8791,Auto Rickshaw,Toyota,Pulsar,2018,Silver,P00912,,2022-08-13,Active,SRC007,0.92,2026-04-26 12:37:04,2024-05-11 01:26:18
V00093,MH16AB5265,SUV,Hero,Nexon,2014,Silver,P00719,,2025-08-29,Inactive,SRC011,0.99,2025-01-29 03:42:43,2025-08-13 13:06:41
V00094,UP95JK6314,SUV,Toyota,Swift,2016,Grey,P01625,,2021-06-22,Flagged,SRC010,0.95,2025-02-12 22:26:34,2026-01-09 20:33:16
V00095,DL27GH1881,Van,Tata,Nexon,2022,Blue,P03961,,2026-08-10,Inactive,SRC026,0.91,2024-10-18 00:58:59,2024-02-29 08:10:02
V00096,DL20JK7657,Van,Maruti Suzuki,Creta,2014,Grey,P03899,,2024-07-09,Flagged,SRC022,0.86,2026-05-28 05:44:05,2025-12-17 08:14:32
V00097,KA24JK6644,SUV,Honda,Scorpio,2014,Silver,P03635,,2018-10-16,Active,SRC022,0.84,2024-02-14 03:49:44,2025-09-03 07:53:39
V00098,GJ98AB8080,Motorcycle,Hero,Swift,2021,Red,,O0053,2023-01-05,Active,SRC016,0.97,2025-02-05 05:40:25,2024-06-10 01:32:56
V00099,MP06EF1867,Motorcycle,Honda,Swift,2021,Blue,P03671,,2025-07-24,Flagged,SRC008,0.91,2025-05-08 19:28:15,2024-04-14 15:53:15
V00100,DL66AB1772,SUV,Toyota,Creta,2019,Blue,P03008,,2021-02-16,Active,SRC024,0.87,2024-11-30 12:31:57,2024-10-27 18:33:29
V00101,UP38JK8325,Truck,Honda,Swift,2018,White,P03613,,2016-12-02,Inactive,SRC016,0.98,2025-09-01 14:39:06,2025-05-23 02:22:27
V00102,DL97JK8584,Van,Toyota,Creta,2019,Red,P02785,,2026-07-01,Inactive,SRC020,0.91,2024-09-21 22:27:41,2024-09-24 10:55:01
V00103,MP83CD8472,Auto Rickshaw,Maruti Suzuki,Creta,2020,Blue,P02423,,2024-07-20,Flagged,SRC010,0.93,2026-01-06 03:44:14,2024-08-11 02:14:05
V00104,UP52CD4764,Car,Honda,Splendor,2024,Blue,P01957,,2024-12-06,Active,SRC010,0.82,2025-07-12 09:46:18,2026-06-20 22:00:44
V00105,DL24JK5947,Motorcycle,Hero,Pulsar,2021,Grey,P03320,,2022-07-30,Inactive,SRC004,0.88,2025-10-02 14:04:33,2024-12-18 11:28:23
V00106,GJ53GH8221,Truck,Toyota,Pulsar,2017,Red,P01822,,2019-09-24,Inactive,SRC004,0.87,2024-10-10 12:06:44,2024-07-04 00:05:42
V00107,KA91AB2546,Van,Toyota,Innova,2016,Silver,P00279,,2024-02-09,Active,SRC029,0.89,2025-05-29 11:20:40,2025-11-01 06:58:58
V00108,GJ63JK3685,SUV,Bajaj,Scorpio,2018,Red,P02024,,2023-08-13,Flagged,SRC007,0.83,2024-03-27 10:56:32,2025-04-21 07:25:33
V00109,UP11AB3712,Auto Rickshaw,Mahindra,Creta,2018,Blue,P00503,,2019-07-02,Flagged,SRC025,0.81,2025-08-31 15:48:39,2024-10-25 00:56:10
V00110,MP95CD1744,Car,Hero,City,2021,Silver,P00348,,2021-08-20,Flagged,SRC018,0.82,2025-06-10 11:12:04,2025-11-24 23:43:25
V00111,DL56AB5490,Motorcycle,Mahindra,Swift,2016,Red,P01946,,2026-06-06,Active,SRC006,0.85,2024-10-15 21:38:00,2025-01-05 06:12:11
V00112,MH34GH1143,Truck,Maruti Suzuki,Splendor,2014,Blue,P02208,,2017-08-20,Active,SRC015,0.9,2025-10-09 10:13:26,2026-05-29 01:17:32
V00113,GJ94CD7712,Auto Rickshaw,Honda,Nexon,2019,Silver,P01838,,2019-07-31,Active,SRC022,0.86,2024-10-13 11:25:01,2025-01-19 13:38:49
V00114,MH50JK2770,Auto Rickshaw,Toyota,City,2020,Grey,P03881,,2021-09-15,Inactive,SRC020,0.92,2025-05-07 20:30:02,2025-02-23 03:20:35
V00115,RJ90CD8522,Motorcycle,Tata,Scorpio,2025,White,,O0001,2018-03-20,Flagged,SRC030,0.9,2025-01-15 18:28:42,2025-11-24 09:55:01
V00116,DL53CD4409,SUV,Honda,Innova,2017,Blue,P00105,,2018-07-25,Inactive,SRC012,0.97,2026-03-16 07:10:20,2026-06-27 13:56:14
V00117,DL84AB4295,Truck,Toyota,Pulsar,2025,Blue,P00707,,2018-04-05,Flagged,SRC002,0.98,2025-10-18 05:36:30,2026-03-18 16:54:12
V00118,MP20GH9479,Motorcycle,Bajaj,Nexon,2024,Grey,P01141,,2018-02-25,Flagged,SRC030,0.94,2024-12-08 06:34:42,2024-04-10 06:49:10
V00119,GJ14EF8500,Truck,Maruti Suzuki,City,2018,Grey,P03674,,2025-10-24,Inactive,SRC003,0.87,2025-10-05 22:00:31,2024-10-08 19:23:56
V00120,DL22GH1293,Van,Maruti Suzuki,Nexon,2017,Red,,O0325,2018-08-17,Flagged,SRC005,0.8,2025-04-07 06:50:20,2026-04-09 00:53:51
V00121,KA82CD8742,Truck,Maruti Suzuki,Pulsar,2024,Grey,P00057,,2024-02-03,Flagged,SRC026,0.9,2024-01-29 07:32:54,2025-11-15 19:00:56
V00122,GJ81EF4318,Car,Tata,Nexon,2016,Black,P01729,,2023-12-25,Active,SRC005,0.9,2025-03-04 14:42:28,2024-01-06 22:51:02
V00123,MP27EF9790,Motorcycle,Tata,Nexon,2017,Black,P02554,,2017-01-09,Inactive,SRC005,0.84,2025-08-19 09:34:08,2025-10-14 10:09:01
V00124,MP99GH1948,Truck,Mahindra,Creta,2018,Blue,P01098,,2019-05-26,Flagged,SRC021,0.91,2026-05-14 19:18:58,2024-10-13 17:53:45
V00125,MH86CD4516,Auto Rickshaw,Mahindra,Nexon,2016,Blue,P02742,,2020-01-22,Flagged,SRC010,0.88,2026-08-14 21:36:13,2024-03-26 10:13:25
V00126,MP78JK8286,Car,Maruti Suzuki,Creta,2022,Grey,,O0203,2022-05-27,Active,SRC005,0.98,2026-01-06 08:26:54,2025-07-07 17:24:20
V00127,KA30GH6210,Auto Rickshaw,Tata,Creta,2018,Silver,,O0123,2022-01-05,Flagged,SRC012,0.96,2025-03-08 03:12:36,2024-05-09 11:27:22
V00128,MH62AB1840,SUV,Hero,City,2018,Black,P00538,,2017-04-20,Active,SRC022,0.87,2026-03-25 08:23:12,2025-12-14 12:44:29
V00129,MH05CD9054,SUV,Toyota,Swift,2022,Black,P01854,,2026-03-11,Inactive,SRC027,0.85,2026-07-17 06:47:06,2024-09-08 22:51:15
V00130,MP97AB7556,Auto Rickshaw,Maruti Suzuki,Scorpio,2014,Red,P03008,,2025-01-31,Inactive,SRC016,0.85,2026-06-01 22:37:15,2025-01-04 01:18:43
V00131,RJ62EF9318,SUV,Hero,Splendor,2015,Red,P02721,,2018-03-03,Flagged,SRC030,0.94,2025-03-30 04:35:17,2026-03-04 13:22:49
V00132,MH30EF4643,Truck,Mahindra,Splendor,2023,White,P00960,,2020-07-28,Active,SRC008,0.9,2026-07-18 22:14:20,2025-12-04 13:56:21
V00133,DL38AB6349,Van,Honda,Splendor,2020,White,,O0384,2023-01-01,Flagged,SRC006,0.89,2025-07-16 14:47:29,2026-03-15 03:44:44
V00134,MP20AB8559,Truck,Bajaj,Nexon,2018,Blue,P02149,,2018-04-15,Active,SRC029,0.91,2024-10-27 02:48:27,2025-12-31 00:41:35
V00135,MH34CD8447,SUV,Bajaj,Creta,2021,Red,P00649,,2025-06-11,Active,SRC029,0.98,2026-02-26 22:08:20,2026-08-19 05:08:24
V00136,RJ94AB2042,Car,Hero,Innova,2024,Silver,P00324,,2024-07-19,Inactive,SRC023,0.87,2024-05-20 10:44:06,2024-09-06 03:27:28
V00137,RJ32EF2833,Car,Bajaj,Splendor,2025,Silver,P01206,,2017-07-25,Inactive,SRC009,0.93,2026-07-20 16:27:42,2025-10-26 17:01:57
V00138,DL73AB9043,Car,Bajaj,Splendor,2024,Grey,P03237,,2021-10-05,Flagged,SRC029,0.96,2026-04-05 13:50:55,2024-05-18 07:42:09
V00139,MH03CD5691,Truck,Tata,Scorpio,2024,Red,P00215,,2020-01-26,Flagged,SRC001,0.99,2024-05-17 07:20:58,2025-01-13 07:04:45
V00140,MH39AB9739,Van,Hyundai,Innova,2025,Silver,P00879,,2020-06-29,Flagged,SRC001,0.99,2024-06-08 09:07:58,2024-10-25 03:34:19
V00141,MH08CD9348,Car,Mahindra,Innova,2018,Black,P02562,,2021-12-18,Active,SRC027,0.98,2025-03-18 23:46:52,2025-10-15 09:38:40
V00142,MP20JK7048,Auto Rickshaw,Maruti Suzuki,City,2022,Blue,P00902,,2021-07-18,Flagged,SRC028,0.99,2025-08-12 21:04:34,2025-02-15 16:05:01
V00143,UP79JK9169,Auto Rickshaw,Toyota,Splendor,2017,Black,P00444,,2022-08-19,Flagged,SRC006,0.92,2026-01-31 13:12:01,2025-07-09 14:40:02
V00144,RJ68AB3347,Truck,Mahindra,Pulsar,2017,Blue,P03415,,2018-10-08,Active,SRC021,0.81,2024-02-17 07:34:12,2026-02-11 11:44:53
V00145,RJ59JK7795,Motorcycle,Maruti Suzuki,Scorpio,2022,White,P01133,,2022-09-16,Inactive,SRC019,0.81,2026-03-24 14:21:59,2026-03-12 05:43:14
V00146,DL51GH1640,Van,Bajaj,Pulsar,2018,Silver,P01055,,2022-04-09,Inactive,SRC019,0.81,2025-06-29 08:03:03,2026-02-04 15:38:38
V00147,MP14EF5304,Auto Rickshaw,Tata,Splendor,2016,Silver,P00336,,2024-10-09,Inactive,SRC029,0.89,2026-04-13 01:50:06,2024-07-26 13:48:18
V00148,DL96AB9608,Van,Tata,Innova,2022,Silver,P00420,,2017-10-26,Active,SRC028,0.84,2026-08-07 15:46:41,2025-05-30 05:30:53
V00149,KA61CD8942,Auto Rickshaw,Toyota,Nexon,2015,Red,P02625,,2019-06-15,Inactive,SRC027,0.98,2025-08-07 19:09:14,2025-09-04 09:44:23
V00150,KA86CD4954,Car,Hyundai,City,2017,Silver,P03931,,2018-08-22,Active,SRC024,0.87,2025-02-21 01:43:57,2026-06-06 17:45:59
V00151,DL21GH8569,Van,Toyota,Splendor,2016,Grey,,O0120,2025-11-05,Inactive,SRC015,0.82,2024-02-04 05:16:37,2024-04-17 05:18:14
V00152,GJ53AB6775,Motorcycle,Honda,Pulsar,2025,Silver,P02869,,2025-12-11,Flagged,SRC030,0.88,2024-08-30 18:42:49,2026-08-24 23:14:39
V00153,MP79GH9818,Motorcycle,Honda,Pulsar,2024,Blue,,O0385,2018-10-05,Flagged,SRC016,0.82,2025-12-04 19:49:46,2025-01-18 08:15:58
V00154,RJ21JK3061,Truck,Hyundai,Splendor,2021,Black,P03100,,2018-05-17,Inactive,SRC025,0.8,2024-02-14 08:48:19,2025-03-30 10:24:43
V00155,DL01JK2054,Car,Maruti Suzuki,Swift,2014,Grey,P03388,,2024-11-22,Flagged,SRC016,0.9,2025-09-08 10:55:57,2024-07-10 08:55:46
V00156,UP67CD7694,Motorcycle,Hero,City,2015,Blue,,O0060,2023-10-06,Flagged,SRC016,0.93,2026-02-11 04:36:05,2025-02-27 12:29:37
V00157,MH24EF1926,Auto Rickshaw,Hyundai,Scorpio,2017,Blue,P03734,,2025-09-20,Flagged,SRC005,0.83,2025-12-28 15:09:51,2026-04-04 03:27:20
V00158,KA38EF5343,Auto Rickshaw,Toyota,City,2018,Grey,,O0133,2023-12-13,Active,SRC015,0.9,2024-05-22 04:43:06,2026-04-21 03:07:29
V00159,UP23EF5631,Van,Hero,Creta,2021,Silver,P02457,,2025-01-23,Active,SRC014,0.98,2025-04-30 14:06:21,2025-10-31 21:33:12
V00160,DL99JK5273,Motorcycle,Maruti Suzuki,Pulsar,2015,Black,P01841,,2023-05-08,Inactive,SRC014,0.92,2024-01-07 11:16:58,2024-07-17 11:28:49
V00161,MH58GH2399,Truck,Tata,Innova,2025,Blue,P00678,,2022-05-08,Active,SRC030,0.81,2026-07-09 11:20:32,2025-10-19 11:19:21
