location_id,location_name,location_type,address,city,state,country,latitude,longitude,postal_code,risk_category,source_id,confidence_score,created_at,updated_at
L00065,Market 455,Industrial Site,"H.No. 729, Saraf",Indore,Madhya Pradesh,India,20.505469,78.771151,224855,High,SRC017,0.92,2024-04-22 08:02:29,2026-04-01 09:38:07
L00066,Hotel 349,Industrial Site,"H.No. 343, Chanda Road",Gurugram,Haryana,India,14.761688,87.854268,100357,High,SRC019,0.93,2026-07-27 14:59:59,2026-08-20 16:59:59
L00067,Hotel 45,Transport Hub,"34/943, Mane Chowk",Ahmedabad,Gujarat,India,20.37226,86.539709,506368,Medium,SRC029,0.81,2026-07-20 23:34:11,2026-08-15 09:34:11
L00068,Road 299,Public Place,"63/69, Krishnamurthy Ganj",Kota,Rajasthan,India,10.558721,74.847702,152564,Unknown,SRC011,0.78,2026-02-08 12:04:53,2026-02-24 06:04:53
L00069,Junction 786,Warehouse,"H.No. 643, Bal Ganj",Gwalior,Madhya Pradesh,India,8.787202,84.691679,406965,Medium,SRC021,0.88,2024-04-07 05:05:04,2025-05-12 11:09:46
L00070,Market 699,Transport Hub,"27/25, Koshy Marg",Surat,Gujarat,India,26.133299,74.339785,519979,Unknown,SRC029,0.84,2026-04-18 02:01:17,2026-04-19 20:01:17
L00071,Junction 620,Hotel,"15, Handa Path",Mumbai,Maharashtra,India,25.166282,86.468029,731742,Low,SRC014,0.94,2026-02-03 08:59:50,2026-02-21 07:59:50
L00072,Industrial Area 263,Residence,"H.No. 926, Khanna",Jaipur,Rajasthan,India,16.832396,86.310507,181815,Unknown,SRC019,0.87,2024-07-04 01:12:03,2025-08-23 05:50:25
L00073,Mall 323,Bank,"H.No. 13, Bajwa Zila",Vadodara,Gujarat,India,13.414662,73.206021,144036,Low,SRC002,0.84,2024-07-08 05:46:22,2025-08-02 00:06:52
L00074,Industrial Area 657,Warehouse,"307, Radhakrishnan Path",Kota,Rajasthan,India,27.566742,76.635151,453770,Low,SRC017,0.86,2025-08-14 01:14:34,2025-08-18 14:14:34
L00075,Road 461,Industrial Site,"563, Patla Circle",Pune,Maharashtra,India,20.223003,77.072498,603121,Unknown,SRC016,0.76,2026-01-24 22:17:12,2026-08-29 16:57:27
L00076,Junction 589,Hotel,"H.No. 23, Brar Circle",Dewas,Madhya Pradesh,India,25.576292,73.752235,540327,High,SRC012,0.91,2025-11-26 06:00:26,2025-12-16 12:00:26
L00077,Mall 151,Transport Hub,"42, Patla Street",Bengaluru,Karnataka,India,27.643532,87.785058,436144,Unknown,SRC018,0.75,2024-06-27 07:57:31,2025-09-05 00:19:29
L00078,Market 300,Residence,"H.No. 41, Memon Zila",Delhi,Delhi,India,17.649457,81.426888,297832,Unknown,SRC012,0.77,2025-09-12 08:45:00,2026-05-12 17:40:24
L00079,Industrial Area 383,Public Place,"812, Dash",Lucknow,Uttar Pradesh,India,23.727364,74.854948,604009,Unknown,SRC029,0.92,2025-06-26 06:18:29,2026-06-02 17:01:52
L00080,Office 776,Residence,"70/17, Borra Street",Hyderabad,Telangana,India,24.673587,84.375289,184744,Medium,SRC022,0.98,2026-02-12 23:16:06,2026-02-19 01:16:06
L00081,Industrial Area 976,Hotel,"H.No. 31, Datta Street",Dewas,Madhya Pradesh,India,27.277999,84.421031,649232,Low,SRC005,0.84,2025-03-06 07:33:12,2025-03-07 13:33:12
L00082,Office 75,Warehouse,"50/389, Modi Ganj",Gurugram,Haryana,India,25.052699,72.077755,649952,High,SRC015,0.91,2025-11-21 22:16:39,2025-12-15 11:16:39
L00083,Hotel 807,Office,"774, Dugar Street",Hyderabad,Telangana,India,15.348204,74.269784,716484,High,SRC006,0.83,2024-08-22 18:56:23,2024-11-30 16:47:02
L00084,Station 21,Residence,"H.No. 46, Ramakrishnan Street",Jaipur,Rajasthan,India,19.606676,84.551687,553855,Low,SRC029,0.96,2024-12-06 08:33:40,2025-05-01 15:56:47
L00085,Mall 218,Public Place,"89/034, Sharaf Chowk",Gurugram,Haryana,India,21.067269,72.738844,499585,Medium,SRC001,0.8,2024-07-24 20:44:48,2025-08-14 06:14:14
L00086,Warehouse 841,Hotel,"H.No. 130, Johal Circle",Nagpur,Maharashtra,India,24.436287,78.490597,121617,Medium,SRC005,0.89,2025-02-12 06:00:53,2025-02-17 11:00:53
L00087,Station 750,Industrial Site,"73/10, Varughese Street",Surat,Gujarat,India,13.339352,86.240403,312652,Unknown,SRC028,0.92,2025-09-27 09:11:58,2025-10-06 00:11:58
L00088,Market 755,Bank,"49, Yohannan Circle",Delhi,Delhi,India,24.025363,78.819043,105484,Low,SRC016,0.82,2024-02-06 02:23:54,2026-02-01 03:26:40
L00089,Warehouse 852,Transport Hub,"H.No. 866, Narayanan Marg",Jaipur,Rajasthan,India,23.743589,75.960329,539362,Unknown,SRC002,0.99,2024-05-22 01:27:29,2026-05-02 05:49:05
L00090,Road 82,Bank,"36/46, Palla",Nagpur,Maharashtra,India,27.83666,86.267795,207650,High,SRC007,0.84,2024-01-15 16:58:27,2024-10-19 11:28:08
L00091,Warehouse 677,Public Place,"H.No. 732, Sheth Path",Delhi,Delhi,India,12.767232,86.566803,629077,Unknown,SRC014,0.79,2024-06-10 03:49:27,2025-08-12 15:39:29
L00092,Hotel 914,Bank,"320, Ravel",Ujjain,Madhya Pradesh,India,22.157458,84.799852,272507,Low,SRC024,0.83,2024-01-11 23:17:59,2024-05-11 15:19:41
L00093,Mall 448,Public Place,"H.No. 840, Pau Chowk",Vadodara,Gujarat,India,10.438782,74.387852,227248,Unknown,SRC010,0.77,2024-11-08 04:03:02,2025-08-23 08:17:00
L00094,Industrial Area 519,Commercial Area,"85, Sinha Circle",Dewas,Madhya Pradesh,India,25.647574,82.044277,340538,High,SRC004,0.92,2025-01-20 05:54:16,2025-04-11 10:15:24
L00095,Mall 513,Bank,"70, Srivastava Ganj",Bengaluru,Karnataka,India,11.462419,75.315838,796728,High,SRC022,0.89,2026-03-18 21:47:33,2026-04-08 21:47:33
L00096,Office 140,Hotel,"H.No. 999, Raval Road",Ujjain,Madhya Pradesh,India,22.275142,81.219869,435708,Medium,SRC004,0.83,2025-05-27 01:57:43,2026-07-20 12:31:54
L00097,Market 473,Office,"94/970, Kannan Circle",Indore,Madhya Pradesh,India,12.232436,87.517429,317154,Low,SRC010,0.92,2024-12-24 15:14:13,2025-01-19 02:14:13
L00098,Junction 946,Commercial Area,"H.No. 14, Som Circle",Lucknow,Uttar Pradesh,India,16.39819,86.778579,745994,Unknown,SRC003,0.84,2024-04-28 03:18:37,2025-06-05 18:23:20
L00099,Warehouse 752,Bank,"08/98, Bhatia Circle",Nagpur,Maharashtra,India,20.99807,78.077928,207964,Low,SRC010,0.83,2024-10-11 11:37:31,2025-05-27 13:21:33
L00100,Road 858,Hotel,"55, Nayak Street",Kanpur,Uttar Pradesh,India,19.534605,86.271089,779908,Unknown,SRC022,0.95,2026-06-09 21:13:01,2026-07-02 15:13:01
L00101,Hotel 451,Public Place,"089, Iyer Chowk",Ahmedabad,Gujarat,India,17.831003,84.590566,602787,Unknown,SRC025,0.95,2024-02-24 14:09:39,2024-07-12 13:12:37
L00102,Industrial Area 737,Public Place,"158, Raval Ganj",Vadodara,Gujarat,India,15.697338,85.781244,875120,Unknown,SRC013,0.76,2025-05-25 14:25:40,2026-04-21 22:14:29
L00103,Office 9,Industrial Site,"H.No. 36, Manne Nagar",Vadodara,Gujarat,India,21.424285,86.85321,362817,Medium,SRC019,0.85,2025-12-13 12:29:45,2025-12-26 08:29:45
L00104,Hotel 949,Warehouse,"H.No. 947, Warrior Zila",Surat,Gujarat,India,9.412193,77.820108,695131,High,SRC019,0.9,2025-07-23 14:40:00,2026-05-11 22:30:36
L00105,Industrial Area 542,Warehouse,"967, Aurora Ganj",Lucknow,Uttar Pradesh,India,19.865693,80.020468,468638,Medium,SRC015,0.84,2026-08-06 08:44:55,2026-08-20 10:44:55
L00106,Office 171,Residence,"H.No. 781, Seth Street",Nagpur,Maharashtra,India,16.622494,82.991025,565045,High,SRC023,0.76,2024-11-12 14:55:12,2026-04-24 01:45:24
L00107,Office 610,Industrial Site,"916, Subramanian Street",Bengaluru,Karnataka,India,17.348264,82.871017,491418,Unknown,SRC026,0.91,2026-06-28 05:06:20,2026-06-29 12:06:20
L00108,Market 390,Bank,"333, Khalsa Circle",Bhopal,Madhya Pradesh,India,10.793853,78.638169,672900,Unknown,SRC007,0.89,2024-08-16 07:09:55,2024-08-24 13:09:55
L00109,Office 820,Office,"70/941, Parmar",Pune,Maharashtra,India,13.138863,72.889755,307455,Low,SRC018,0.92,2024-05-23 04:22:30,2025-08-06 05:00:02
L00110,Apartment 248,Residence,"592, Peri Nagar",Hyderabad,Telangana,India,25.936755,73.735908,404577,Low,SRC026,0.96,2025-02-08 08:50:07,2026-02-14 22:53:44
L00111,Market 411,Commercial Area,"078, Taneja Ganj",Nagpur,Maharashtra,India,13.031839,80.508433,642946,High,SRC017,0.87,2024-04-08 06:23:13,2025-09-05 17:01:08
L00112,Office 714,Transport Hub,"79/812, Gupta Ganj",Vadodara,Gujarat,India,15.109583,81.112211,603089,Low,SRC011,0.77,2025-08-07 09:10:23,2025-10-22 14:08:42
L00113,Station 624,Bank,"31, Manne Zila",Mumbai,Maharashtra,India,26.728053,77.543074,215308,Medium,SRC011,0.77,2026-02-23 07:55:43,2026-02-25 09:31:12
L00114,Road 901,Industrial Site,"761, Suresh Chowk",Delhi,Delhi,India,11.994377,80.026737,289332,Low,SRC022,0.81,2024-08-01 06:33:13,2026-07-01 01:42:21
L00115,Station 979,Public Place,"231, Tata Chowk",Vadodara,Gujarat,India,26.277347,78.912419,621427,Medium,SRC022,0.99,2025-02-07 22:39:02,2025-09-25 20:25:59
L00116,Road 364,Industrial Site,"07, Dora Marg",Kanpur,Uttar Pradesh,India,16.747262,76.005376,416350,Unknown,SRC021,0.88,2025-10-22 01:13:12,2025-11-01 13:13:12
L00117,Hotel 968,Public Place,"H.No. 061, Lall Zila",Jabalpur,Madhya Pradesh,India,26.079157,83.08001,588266,Low,SRC025,0.95,2024-06-30 05:24:29,2024-07-07 03:24:29
L00118,Office 271,Public Place,"H.No. 244, Dash Path",Kota,Rajasthan,India,26.68543,76.904302,194653,Unknown,SRC014,0.92,2026-01-31 19:02:50,2026-02-01 22:02:50
L00119,Road 201,Public Place,"879, Keer Circle",Dewas,Madhya Pradesh,India,24.034153,82.944063,323677,High,SRC005,0.85,2026-03-27 20:48:49,2026-04-02 10:48:49
L00120,Warehouse 497,Bank,"425, Taneja Zila",Vadodara,Gujarat,India,11.824786,79.702184,135881,Low,SRC003,0.95,2025-10-22 00:50:55,2025-11-13 12:50:55
L00121,Office 671,Bank,"H.No. 24, Krish Circle",Indore,Madhya Pradesh,India,24.263804,81.70748,871301,Low,SRC022,0.94,2025-01-28 08:02:15,2026-04-30 18:41:31
L00122,Hotel 877,Warehouse,"H.No. 11, Bhatti Street",Bengaluru,Karnataka,India,24.733688,75.005963,610906,Unknown,SRC006,0.77,2025-11-02 03:48:33,2025-11-24 00:48:33
L00123,Warehouse 795,Commercial Area,"96/746, Singh",Jabalpur,Madhya Pradesh,India,20.738835,81.154099,803493,High,SRC029,0.83,2024-04-11 22:56:13,2026-02-16 09:14:05
L00124,Office 847,Transport Hub,"48/355, Muni Chowk",Jaipur,Rajasthan,India,24.310187,83.570021,857471,Unknown,SRC023,0.79,2025-04-22 18:38:45,2025-05-15 13:38:45
L00125,Warehouse 401,Commercial Area,"48, Puri",Bhopal,Madhya Pradesh,India,16.500458,75.47306,322469,Medium,SRC020,0.8,2025-01-10 23:02:01,2025-02-08 16:02:01
L00126,Market 535,Warehouse,"H.No. 89, Salvi",Vadodara,Gujarat,India,13.758977,83.708691,397489,Unknown,SRC005,0.83,2024-09-01 17:37:48,2024-09-13 17:37:48
L00127,Warehouse 978,Transport Hub,"20, Vala Road",Kanpur,Uttar Pradesh,India,8.28987,72.858468,401521,Unknown,SRC011,0.83,2025-03-14 07:54:34,2025-03-21 23:54:34
L00128,Mall 859,Transport Hub,"H.No. 189, Khare Chowk",Bengaluru,Karnataka,India,9.310915,76.378471,247152,Medium,SRC002,0.78,2024-11-28 09:10:57,2026-07-11 23:11:47
L00129,Mall 305,Hotel,"39, Gupta Nagar",Ahmedabad,Gujarat,India,23.060471,77.544403,697281,Unknown,SRC009,0.84,2026-07-08 13:58:34,2026-07-09 16:58:34
L00130,Apartment 756,Hotel,"84/073, Karnik Road",Bengaluru,Karnataka,India,26.833219,80.247862,126326,Unknown,SRC001,0.78,2024-09-25 16:39:27,2025-08-24 23:26:45
L00131,Market 310,Hotel,"75/897, Chander Nagar",Nagpur,Maharashtra,India,9.72078,86.516779,422709,Low,SRC015,0.87,2026-07-23 05:04:17,2026-07-25 16:04:17
L00132,Office 242,Commercial Area,"H.No. 77, Banerjee Street",Kanpur,Uttar Pradesh,India,22.052086,75.864418,536889,Medium,SRC025,0.96,2024-02-20 18:48:20,2025-07-14 16:45:51
L00133,Apartment 502,Public Place,"538, Balay Street",Gurugram,Haryana,India,15.09198,76.116082,877671,Unknown,SRC003,0.86,2024-06-08 06:59:21,2026-02-02 21:26:54
L00134,Hotel 488,Hotel,"41/153, Chokshi Nagar",Delhi,Delhi,India,14.751065,76.959754,707366,Low,SRC010,0.86,2024-06-22 19:12:46,2026-08-04 08:03:57
L00135,Office 931,Public Place,"27/244, Arora Chowk",Gwalior,Madhya Pradesh,India,16.125732,73.692044,745071,Medium,SRC019,0.8,2025-02-24 02:20:05,2025-03-22 03:20:05
L00136,Office 622,Transport Hub,"H.No. 26, Patla Path",Hyderabad,Telangana,India,11.584642,83.324844,757681,Medium,SRC003,0.83,2024-04-17 21:25:25,2026-03-26 13:22:20
L00137,Apartment 906,Transport Hub,"H.No. 565, Pal Path",Gwalior,Madhya Pradesh,India,24.61013,75.561335,235050,Medium,SRC019,0.76,2025-09-02 05:14:50,2025-09-05 09:14:50
L00138,Industrial Area 634,Industrial Site,"707, Kala Path",Dewas,Madhya Pradesh,India,27.448657,82.304545,592423,High,SRC017,0.79,2025-06-27 11:37:47,2025-07-02 13:37:47
L00139,Industrial Area 485,Hotel,"289, Chatterjee Nagar",Ahmedabad,Gujarat,India,12.304368,86.153048,106378,Low,SRC027,0.78,2026-07-03 21:13:57,2026-07-16 02:13:57
L00140,Market 227,Bank,"68/93, Kakar Circle",Bengaluru,Karnataka,India,26.379176,83.018494,434571,Low,SRC005,0.99,2024-05-10 00:47:11,2025-06-27 14:22:01
L00141,Road 249,Commercial Area,"840, Wagle Path",Vadodara,Gujarat,India,14.301165,82.687321,246228,Low,SRC010,0.94,2026-02-28 04:59:12,2026-03-23 05:59:12
L00142,Warehouse 432,Warehouse,"233, Chaudry Path",Ujjain,Madhya Pradesh,India,27.660483,72.537543,158744,Unknown,SRC028,0.91,2024-10-23 11:18:24,2024-11-03 05:18:24
L00143,Road 91,Residence,"93/898, Kibe Ganj",Surat,Gujarat,India,8.077106,76.417698,378733,High,SRC007,0.84,2024-11-13 15:42:43,2025-05-25 04:46:10
L00144,Station 274,Transport Hub,"29/98, Nori",Mumbai,Maharashtra,India,13.019601,85.179395,488059,Unknown,SRC019,0.77,2024-11-21 06:12:48,2024-12-06 13:01:00
L00145,Office 707,Residence,"46, Deol Road",Jabalpur,Madhya Pradesh,India,20.630812,79.414217,730063,Medium,SRC006,0.97,2025-01-15 21:48:51,2025-03-26 16:51:54
