transaction_id,source_account_id,target_account_id,transaction_type,amount,currency,timestamp,transaction_reference_hash,source_location_id,destination_location_id,channel,description,source_id,confidence_score,evidence_id,created_at
TX000033,A00635,A01174,TRANSFER,607385.25,INR,2024-01-12 11:15:21,REF82176743124,L00568,L00068,UPI,Cash deposit,SRC029,0.96,EV03795,2025-07-16 05:50:00
TX000034,A00152,A00874,TRANSFER,391815.0,INR,2025-08-02 15:24:57,REF31669621934,L01552,L01162,IMPS,Personal transfer,SRC017,0.84,EV04647,2025-10-05 00:24:10
TX000035,A00736,A00861,DEPOSIT,380028.7,INR,2025-01-03 07:42:36,REF23698557365,L01501,L01151,IMPS,Invoice payment,SRC024,0.88,EV01402,2025-02-01 03:47:54
TX000036,A00777,A00447,PAYMENT,471107.46,INR,2024-06-21 02:44:56,REF46697425658,L00505,L01106,UPI,Cash deposit,SRC022,0.82,EV04756,2025-11-17 07:05:17
TX000037,A00018,A00953,WITHDRAWAL,664226.06,INR,2026-08-10 02:31:17,REF47155092894,L02226,L01178,UPI,Invoice payment,SRC020,0.93,EV03940,2025-01-29 18:38:34
TX000038,A01071,A01172,CASH,96609.48,INR,2025-01-31 03:17:45,REF51605369773,L01421,L01603,IMPS,Service payment,SRC018,0.82,EV00360,2025-05-29 05:35:52
TX000039,A01087,A00879,DEPOSIT,232922.48,INR,2026-02-19 11:22:26,REF30995931579,L01048,L00489,IMPS,Personal transfer,SRC014,0.84,EV04561,2026-01-09 00:13:51
TX000040,A00739,A00879,CASH,746929.65,INR,2025-03-23 11:21:10,REF96463818687,L00711,L02440,ATM,Personal transfer,SRC030,0.96,EV02003,2025-11-10 10:40:01
TX000041,A01037,A01002,CASH,694078.28,INR,2025-08-15 22:04:51,REF18122818930,L02467,L00056,CASH,Vendor payment,SRC029,0.94,EV01132,2026-03-13 22:46:26
TX000042,A01170,A00346,PAYMENT,359919.16,INR,2025-05-09 00:55:35,REF42789149449,L02162,L01733,RTGS,Personal transfer,SRC013,0.99,EV00101,2026-01-12 20:32:02
TX000043,A00830,A01292,CASH,28866.94,INR,2025-09-24 07:40:25,REF59787221040,L01869,L01013,IMPS,Cash deposit,SRC011,0.94,EV02418,2026-01-20 18:57:40
TX000044,A01052,A00198,DEPOSIT,672623.16,INR,2025-06-24 07:16:40,REF86656572211,L00036,L00908,NEFT,Personal transfer,SRC029,0.98,EV02896,2024-01-23 18:55:41
TX000045,A00269,A00988,TRANSFER,5023.46,INR,2026-05-10 22:46:53,REF17252718669,L01073,L00060,UPI,Vendor payment,SRC010,0.84,EV02690,2026-07-19 23:27:17
TX000046,A00415,A00868,WITHDRAWAL,558285.97,INR,2026-06-05 18:53:10,REF17126183107,L00648,L02381,IMPS,Refund,SRC010,0.84,EV00985,2024-08-19 18:29:54
TX000047,A00059,A01063,CASH,102252.16,INR,2025-04-14 09:59:38,REF68283420579,L00231,L02195,UPI,Invoice payment,SRC016,0.92,EV03896,2026-05-30 03:46:36
TX000048,A01285,A00511,CASH,542302.2,INR,2026-03-17 02:16:29,REF48847786128,L01248,L01387,NEFT,Vendor payment,SRC025,0.95,EV00607,2026-07-24 21:41:40
TX000049,A00370,A01014,CASH,589041.84,INR,2025-02-15 20:32:51,REF50696962343,L01218,L01340,CASH,Invoice payment,SRC010,0.89,EV01674,2025-11-23 10:07:29
TX000050,A00085,A00171,DEPOSIT,670553.52,INR,2024-11-08 17:45:06,REF82227999115,L01229,L01822,RTGS,Invoice payment,SRC003,0.89,EV01951,2026-04-12 03:09:43
TX000051,A00080,A01118,WITHDRAWAL,173285.62,INR,2026-01-01 23:18:28,REF45583984852,L01544,L00359,ATM,Refund,SRC015,0.92,EV01318,2024-10-10 19:59:31
TX000052,A00685,A00683,WITHDRAWAL,429997.17,INR,2025-10-17 07:40:43,REF75535669887,L01220,L02227,UPI,Invoice payment,SRC008,0.86,EV02450,2024-11-01 05:24:54
TX000053,A00957,A00239,PAYMENT,617142.74,INR,2025-06-03 05:29:40,REF73142349509,L00264,L00783,RTGS,Service payment,SRC004,0.96,EV02529,2024-05-30 06:13:17
TX000054,A01062,A00696,WITHDRAWAL,194010.17,INR,2025-10-04 21:35:24,REF81551764638,L00938,L00424,RTGS,Refund,SRC019,0.91,EV00753,2026-06-13 17:47:23
TX000055,A00541,A00612,WITHDRAWAL,27262.79,INR,2026-01-12 12:45:33,REF96282825950,L00638,L00414,RTGS,Vendor payment,SRC010,0.94,EV02630,2024-01-06 02:25:04
TX000056,A00586,A01071,TRANSFER,565790.49,INR,2024-03-19 02:49:55,REF55484379329,L02263,L00881,ATM,Service payment,SRC008,0.9,EV04097,2024-02-15 11:48:14
TX000057,A00394,A00272,DEPOSIT,172843.18,INR,2025-04-08 21:14:47,REF48976949490,L01962,L01479,RTGS,Cash deposit,SRC021,0.94,EV00303,2026-05-02 07:59:08
TX000058,A00692,A00792,DEPOSIT,262687.79,INR,2026-03-18 02:28:10,REF85527835790,L01338,L00289,RTGS,Service payment,SRC024,0.94,EV01528,2025-11-03 19:17:44
TX000059,A00010,A00090,WITHDRAWAL,728065.0,INR,2024-05-21 04:21:41,REF44064981106,L01141,L00577,CASH,Refund,SRC012,0.95,EV01411,2025-11-22 22:00:44
TX000060,A00731,A00564,TRANSFER,101874.35,INR,2024-07-05 11:44:55,REF42987734345,L01653,L00849,UPI,Service payment,SRC008,0.97,EV01963,2025-10-05 15:37:02
TX000061,A00439,A01089,PAYMENT,55601.3,INR,2024-11-20 00:24:07,REF49999160407,L02474,L00205,RTGS,Personal transfer,SRC024,0.89,EV00345,2024-11-07 04:55:06
TX000062,A00560,A00893,DEPOSIT,305669.08,INR,2024-11-11 16:40:34,REF80763015455,L00729,L02387,IMPS,Cash deposit,SRC028,0.85,EV01323,2024-10-07 15:29:21
TX000063,A00531,A00971,PAYMENT,203492.74,INR,2026-01-04 15:57:40,REF55698034082,L00319,L01713,IMPS,Service payment,SRC023,0.91,EV02647,2026-07-05 03:06:37
TX000064,A01025,A00084,WITHDRAWAL,163433.16,INR,2025-12-31 17:39:29,REF53300624224,L01868,L00741,UPI,Service payment,SRC023,0.86,EV01620,2024-08-02 09:19:38
TX000065,A00064,A01247,TRANSFER,737471.76,INR,2025-06-23 15:50:54,REF32269147476,L00789,L00258,NEFT,Vendor payment,SRC001,0.91,EV03081,2024-09-16 18:58:44
TX000066,A00629,A01087,PAYMENT,213874.16,INR,2025-09-23 21:33:07,REF60033297572,L01056,L02380,RTGS,Refund,SRC004,0.85,EV00073,2024-04-15 00:32:39
TX000067,A00714,A00798,WITHDRAWAL,539087.68,INR,2024-03-14 16:04:34,REF48783059316,L01868,L02213,CASH,Invoice payment,SRC005,0.98,EV00691,2024-12-13 12:27:38
TX000068,A00524,A00166,TRANSFER,212726.13,INR,2024-11-11 13:53:22,REF77047122064,L02138,L00460,IMPS,Refund,SRC026,0.95,EV02957,2024-10-20 17:12:37
TX000069,A01269,A00387,DEPOSIT,581836.05,INR,2025-02-09 16:45:46,REF37290301969,L01547,L02198,IMPS,Personal transfer,SRC017,0.96,EV00209,2026-07-18 17:32:59
TX000070,A00446,A00588,WITHDRAWAL,639670.25,INR,2026-03-05 10:30:20,REF32475550142,L02268,L00860,UPI,Vendor payment,SRC006,0.85,EV02434,2025-02-23 19:18:53
TX000071,A00043,A00310,DEPOSIT,682223.26,INR,2025-10-25 14:39:17,REF84490659308,L01244,L01308,IMPS,Vendor payment,SRC026,0.93,EV02306,2024-02-29 05:53:10
TX000072,A00415,A00361,TRANSFER,41498.97,INR,2026-07-08 08:35:10,REF42413984077,L01851,L02383,UPI,Refund,SRC011,0.97,EV00997,2024-06-05 21:00:55
TX000073,A00933,A01135,TRANSFER,272945.87,INR,2024-02-02 02:50:20,REF10483078992,L02014,L02349,RTGS,Service payment,SRC014,0.92,EV02494,2026-04-09 13:54:40
TX000074,A00598,A00223,DEPOSIT,280736.21,INR,2025-04-15 13:07:50,REF45433425794,L02418,L00804,NEFT,Personal transfer,SRC030,0.99,EV00592,2025-01-05 11:42:49
TX000075,A00860,A01013,CASH,267204.02,INR,2026-01-07 13:39:01,REF40488183771,L01523,L00555,RTGS,Service payment,SRC013,0.99,EV01018,2025-05-29 12:42:24
TX000076,A01282,A00997,DEPOSIT,175970.73,INR,2024-02-29 19:58:43,REF70731618212,L02134,L01099,NEFT,Cash deposit,SRC012,0.89,EV02211,2025-08-15 15:35:22
TX000077,A00484,A00114,DEPOSIT,15825.79,INR,2025-05-31 06:47:47,REF67997970593,L02430,L01403,NEFT,Refund,SRC019,0.93,EV03503,2025-07-12 09:33:24
TX000078,A00160,A00573,WITHDRAWAL,106817.2,INR,2024-02-21 08:09:10,REF37617670223,L00137,L01487,UPI,Refund,SRC021,0.98,EV03354,2025-06-20 00:24:00
TX000079,A00558,A00994,TRANSFER,315349.54,INR,2025-02-19 12:08:16,REF20689341895,L02305,L00014,IMPS,Vendor payment,SRC027,0.91,EV00530,2024-07-19 07:50:17
TX000080,A01296,A01232,TRANSFER,432024.86,INR,2024-03-02 07:11:11,REF65809209100,L00445,L00236,RTGS,Cash deposit,SRC024,0.92,EV00655,2024-04-10 23:57:59
TX000081,A01032,A00417,TRANSFER,11177.38,INR,2025-09-04 08:10:38,REF23200569307,L00829,L01691,UPI,Vendor payment,SRC014,0.87,EV01075,2026-02-15 19:37:54
TX000082,A01175,A00211,WITHDRAWAL,382840.54,INR,2025-09-11 12:54:06,REF80980305867,L00595,L00986,CASH,Refund,SRC019,0.96,EV02805,2025-05-06 20:34:06
TX000083,A01220,A00558,WITHDRAWAL,627651.74,INR,2025-04-01 08:46:45,REF71259928828,L01077,L01513,IMPS,Invoice payment,SRC008,0.83,EV03592,2025-09-16 03:41:41
TX000084,A00697,A00027,PAYMENT,375987.09,INR,2026-02-12 21:19:07,REF61133833723,L02481,L00883,ATM,Personal transfer,SRC014,0.92,EV01726,2024-10-21 02:35:35
TX000085,A00180,A00560,WITHDRAWAL,32432.23,INR,2026-07-08 21:31:27,REF69256432130,L00593,L02050,ATM,Refund,SRC026,0.88,EV02343,2026-06-14 12:37:58
TX000086,A01228,A00461,TRANSFER,374837.7,INR,2024-03-31 21:21:25,REF90661269207,L02011,L00640,ATM,Refund,SRC014,0.92,EV00781,2026-02-07 04:22:08
TX000087,A01296,A00793,CASH,639871.06,INR,2024-11-24 18:26:36,REF51159971344,L01686,L01171,CASH,Personal transfer,SRC029,0.91,EV01657,2026-01-01 05:13:20
TX000088,A00789,A00051,DEPOSIT,302528.79,INR,2025-04-13 14:51:29,REF82233618157,L00444,L01539,NEFT,Invoice payment,SRC024,0.84,EV03637,2024-01-29 12:32:36
TX000089,A00614,A00504,PAYMENT,155097.21,INR,2025-10-04 13:57:35,REF84136101858,L00875,L02256,NEFT,Vendor payment,SRC002,0.89,EV02225,2026-08-23 11:19:00
TX000090,A00735,A01153,WITHDRAWAL,587488.86,INR,2025-05-31 17:05:27,REF57581723535,L01667,L01063,RTGS,Refund,SRC006,0.97,EV01068,2025-10-13 09:48:59
TX000091,A01056,A00490,TRANSFER,611756.75,INR,2026-01-03 17:01:48,REF74530929012,L01492,L01905,ATM,Vendor payment,SRC020,0.87,EV04516,2024-12-30 12:18:29
TX000092,A01083,A00473,PAYMENT,157932.79,INR,2025-10-01 12:31:03,REF70111403908,L02032,L01618,UPI,Service payment,SRC024,0.85,EV01780,2025-09-26 18:57:28
TX000093,A00946,A00185,WITHDRAWAL,731828.8,INR,2024-06-25 00:55:17,REF71865498619,L01149,L00955,IMPS,Cash deposit,SRC002,0.89,EV00439,2024-09-09 10:12:22
TX000094,A01002,A00703,CASH,532052.07,INR,2025-11-21 04:57:57,REF40475224585,L01184,L02083,NEFT,Cash deposit,SRC012,0.98,EV04436,2026-07-15 16:27:08
TX000095,A01158,A01106,WITHDRAWAL,741533.26,INR,2025-08-28 23:03:38,REF83764326396,L02065,L02202,RTGS,Refund,SRC024,0.85,EV00523,2024-07-13 06:44:09
TX000096,A01120,A00561,CASH,748176.44,INR,2024-03-18 20:52:01,REF61417092204,L01889,L01909,NEFT,Personal transfer,SRC028,0.93,EV01006,2026-03-28 09:02:38
TX000097,A01005,A01238,PAYMENT,428918.66,INR,2025-07-21 09:59:29,REF21445624482,L01208,L00880,UPI,Service payment,SRC008,0.96,EV04524,2025-09-12 13:38:57
TX000098,A00155,A01191,TRANSFER,655815.57,INR,2026-01-16 09:33:41,REF98826286810,L02063,L00245,NEFT,Invoice payment,SRC025,0.83,EV04482,2024-02-16 00:41:19
TX000099,A01024,A00001,PAYMENT,636214.09,INR,2025-10-24 17:41:58,REF81802184528,L01739,L00696,ATM,Service payment,SRC022,0.88,EV03770,2025-12-10 12:14:33
TX000100,A01203,A00016,TRANSFER,179242.81,INR,2026-03-26 02:29:55,REF87474843134,L00124,L01570,IMPS,Refund,SRC021,0.87,EV01628,2025-06-19 20:38:05
TX000101,A00829,A00443,TRANSFER,584926.13,INR,2024-09-19 01:27:54,REF19271102513,L01735,L01094,NEFT,Service payment,SRC028,0.97,EV02195,2025-09-26 05:35:05
TX000102,A00079,A01080,PAYMENT,110387.04,INR,2024-11-29 23:30:56,REF72617740604,L00273,L02287,RTGS,Cash deposit,SRC020,0.97,EV01159,2024-08-06 20:11:33
TX000103,A01088,A00372,WITHDRAWAL,269093.65,INR,2024-10-19 03:14:14,REF66796707907,L02175,L02195,NEFT,Invoice payment,SRC019,0.98,EV03039,2024-12-02 01:49:36
TX000104,A00019,A00423,TRANSFER,656509.62,INR,2025-02-05 11:41:51,REF83448154655,L00107,L00933,CASH,Personal transfer,SRC001,0.82,EV02220,2024-09-11 15:08:03
TX000105,A00868,A01002,CASH,660776.83,INR,2026-02-27 10:22:36,REF71041890426,L02272,L02028,UPI,Personal transfer,SRC006,0.83,EV03867,2025-01-14 09:25:46
TX000106,A01247,A00797,PAYMENT,390273.32,INR,2025-10-02 08:08:56,REF70038440942,L02400,L00101,NEFT,Refund,SRC001,0.85,EV03956,2024-04-29 12:15:17
TX000107,A00138,A00185,CASH,340779.32,INR,2025-03-04 13:33:59,REF61433486998,L01361,L01823,ATM,Refund,SRC026,0.92,EV02382,2025-02-05 05:54:44
TX000108,A01218,A00376,TRANSFER,579559.63,INR,2024-11-10 13:09:02,REF63722598315,L01976,L00126,NEFT,Refund,SRC016,0.84,EV00810,2024-07-02 20:43:14
TX000109,A01093,A00274,PAYMENT,58232.58,INR,2025-08-22 13:59:30,REF49095567494,L00271,L01667,ATM,Cash deposit,SRC029,0.94,EV00929,2025-12-06 22:01:39
TX000110,A00514,A00787,TRANSFER,75882.71,INR,2026-01-30 04:45:41,REF29141280388,L01063,L01040,NEFT,Personal transfer,SRC006,0.96,EV02499,2026-03-12 18:58:28
TX000111,A01102,A00813,PAYMENT,3469.93,INR,2025-06-27 20:07:05,REF63692853782,L00222,L00663,NEFT,Personal transfer,SRC002,0.87,EV01849,2024-05-13 07:28:13
TX000112,A00698,A00957,DEPOSIT,566954.6,INR,2026-05-03 22:11:19,REF66795415070,L02122,L00225,ATM,Cash deposit,SRC019,0.92,EV03865,2024-03-17 00:57:33
TX000113,A00989,A00390,TRANSFER,201167.83,INR,2026-04-21 07:05:36,REF65810001855,L02204,L00664,ATM,Cash deposit,SRC018,0.93,EV03815,2025-12-02 04:57:13
TX000114,A01288,A01208,CASH,653797.37,INR,2024-10-16 05:28:05,REF20919610084,L01810,L01260,CASH,Cash deposit,SRC029,0.93,EV03448,2024-11-10 02:53:35
TX000115,A00448,A00016,CASH,345262.65,INR,2024-09-12 05:01:13,REF74747902091,L00891,L02382,NEFT,Invoice payment,SRC003,0.87,EV03917,2026-02-09 13:44:06
TX000116,A00191,A00390,CASH,61327.98,INR,2024-01-19 23:03:53,REF26029135143,L01506,L02328,CASH,Refund,SRC012,0.83,EV04027,2026-02-23 15:20:45
TX000117,A00777,A00203,CASH,142233.52,INR,2024-07-10 15:10:51,REF79371167970,L01135,L00175,IMPS,Service payment,SRC007,0.94,EV04951,2026-07-06 01:23:25
TX000118,A00704,A00006,PAYMENT,674768.13,INR,2025-05-04 02:57:10,REF98138376619,L00323,L00101,RTGS,Personal transfer,SRC016,0.83,EV02486,2024-12-20 09:10:13
TX000119,A00165,A00899,PAYMENT,682440.88,INR,2025-02-05 20:16:02,REF64676896616,L02387,L01068,CASH,Cash deposit,SRC010,0.83,EV04679,2025-11-09 08:56:14
TX000120,A00020,A00795,PAYMENT,94657.93,INR,2026-04-02 08:05:57,REF29175781169,L01636,L00080,IMPS,Invoice payment,SRC008,0.87,EV03051,2024-12-23 09:59:24
TX000121,A00922,A00044,CASH,28642.46,INR,2025-06-24 05:28:04,REF94898826165,L02402,L01228,RTGS,Refund,SRC007,0.84,EV02129,2026-08-09 08:33:20
TX000122,A00310,A00937,CASH,219434.65,INR,2024-08-18 06:13:22,REF56875873823,L02478,L01420,NEFT,Cash deposit,SRC009,0.85,EV02418,2025-08-27 10:01:43
TX000123,A00106,A01166,TRANSFER,388333.48,INR,2025-04-25 08:20:22,REF18914336334,L01197,L01370,ATM,Service payment,SRC012,0.88,EV02301,2025-05-05 13:42:06
TX000124,A01098,A00212,TRANSFER,519707.9,INR,2024-02-04 08:29:58,REF51069637897,L01169,L02326,ATM,Personal transfer,SRC005,0.86,EV02472,2024-08-03 16:51:49
TX000125,A00090,A00626,TRANSFER,130296.25,INR,2024-10-18 08:31:09,REF50878541079,L02126,L02240,IMPS,Cash deposit,SRC016,0.95,EV03713,2026-06-26 18:53:34
TX000126,A00006,A00066,CASH,102068.43,INR,2026-04-26 23:41:26,REF91938706314,L01970,L02371,ATM,Refund,SRC024,0.98,EV04137,2025-07-15 09:50:38
TX000127,A01009,A01033,DEPOSIT,673000.28,INR,2024-01-26 12:26:23,REF57565379764,L00459,L00101,CASH,Personal transfer,SRC005,0.88,EV02201,2024-03-12 03:55:24
TX000128,A01237,A00539,TRANSFER,443253.82,INR,2024-06-06 20:16:11,REF97838511557,L02037,L00430,IMPS,Service payment,SRC020,0.83,EV03242,2025-12-09 07:14:44
TX000129,A00247,A01194,PAYMENT,381961.72,INR,2025-12-26 14:02:22,REF10408765253,L02022,L01778,RTGS,Vendor payment,SRC002,0.97,EV04526,2024-06-19 22:13:14
TX000130,A00118,A00345,CASH,52988.07,INR,2026-05-11 21:43:12,REF31581838395,L00463,L02030,IMPS,Service payment,SRC013,0.91,EV03342,2024-10-21 04:47:27
TX000131,A00133,A00920,CASH,328609.86,INR,2024-04-18 22:39:56,REF40121019579,L01761,L01395,RTGS,Invoice payment,SRC024,0.9,EV03161,2024-11-12 00:36:21
TX000132,A00428,A00413,TRANSFER,133295.97,INR,2024-11-01 22:12:26,REF43592263996,L00657,L01437,ATM,Invoice payment,SRC019,0.9,EV04604,2026-01-30 07:30:06
TX000133,A00161,A01254,DEPOSIT,372389.57,INR,2024-08-28 08:04:04,REF36391303679,L01597,L00935,RTGS,Personal transfer,SRC002,0.88,EV04462,2024-02-01 20:13:35
TX000134,A01088,A00363,PAYMENT,305113.88,INR,2026-04-06 09:18:55,REF13253127567,L01203,L02154,ATM,Invoice payment,SRC023,0.88,EV02314,2024-07-14 11:23:31
TX000135,A00651,A01120,DEPOSIT,128231.38,INR,2024-06-25 04:01:41,REF20802519730,L01416,L00927,IMPS,Service payment,SRC009,0.89,EV01053,2025-03-23 19:16:46
TX000136,A00941,A00112,CASH,695972.4,INR,2025-01-08 15:57:46,REF67432878952,L02131,L01257,UPI,Refund,SRC014,0.89,EV00069,2026-01-08 18:48:53
TX000137,A00744,A01248,CASH,325667.67,INR,2025-08-28 10:00:56,REF82231415553,L00616,L00082,UPI,Cash deposit,SRC024,0.86,EV01898,2025-05-14 16:36:05
TX000138,A00993,A00500,DEPOSIT,579171.17,INR,2024-01-01 00:44:26,REF22492242100,L01784,L00629,IMPS,Vendor payment,SRC013,0.85,EV03848,2024-11-20 09:57:12
TX000139,A01123,A00681,DEPOSIT,432275.73,INR,2024-02-05 23:10:06,REF13147100226,L02306,L00998,IMPS,Invoice payment,SRC022,0.97,EV02907,2026-06-22 19:44:08
TX000140,A01260,A01236,TRANSFER,164762.73,INR,2026-07-02 23:27:10,REF18808093521,L00741,L01271,NEFT,Invoice payment,SRC002,0.85,EV03917,2026-02-05 12:26:18
TX000141,A00371,A00461,PAYMENT,435884.02,INR,2024-05-19 00:02:58,REF25153810540,L00463,L00396,IMPS,Vendor payment,SRC011,0.83,EV02078,2026-07-31 20:08:13
TX000142,A00110,A00106,CASH,325418.38,INR,2026-01-11 13:52:58,REF37760656832,L00941,L02212,IMPS,Invoice payment,SRC026,0.92,EV03232,2026-03-19 05:04:57
TX000143,A00356,A01279,TRANSFER,262168.85,INR,2024-04-01 17:06:58,REF28977737042,L00338,L01836,CASH,Invoice payment,SRC028,0.86,EV04310,2024-07-29 18:25:43
TX000144,A00672,A00348,CASH,276806.64,INR,2024-05-11 20:49:13,REF88485127587,L01172,L01725,CASH,Refund,SRC014,0.9,EV01855,2025-02-10 12:22:11
TX000145,A00879,A00980,TRANSFER,63233.95,INR,2026-07-23 01:33:24,REF18695292640,L01856,L00398,RTGS,Cash deposit,SRC029,0.86,EV00123,2025-11-02 19:52:47
TX000146,A01006,A01236,PAYMENT,562304.07,INR,2024-04-11 00:26:09,REF89118668133,L02398,L00584,CASH,Invoice payment,SRC021,0.87,EV04450,2024-02-27 10:03:22
TX000147,A00183,A00150,TRANSFER,22636.9,INR,2025-01-17 03:15:25,REF30761946390,L00645,L00327,ATM,Cash deposit,SRC023,0.97,EV02429,2026-06-02 21:12:47
