account_id,in_deg,out_deg,in_volume,out_volume,egonet_nodes,egonet_edges,pagerank,community
A00109,8,3,3566231.04,858462.47,11,1,1.338615984483827,null
A00111,8,7,3468452.6399999997,2472074.24,14,4,1.3630842698764403,null
A00112,3,8,1408318.33,3105902.26,11,1,0.8040889786813937,null
A00113,6,7,1885080.22,3129192.0300000003,13,1,1.4685713313944935,null
A00114,7,1,3033106.9000000004,210424.99,8,1,0.8340667097917526,null
A00119,5,2,1994877.87,507730.74,7,1,0.6595494497884857,null
A00124,6,11,2417532.01,4252167.34,17,1,0.9233386266508908,null
A00129,6,9,2465804.2,2460172.53,15,1,0.7179640969644732,null
A00134,9,6,2854587.91,2444880.42,15,1,1.6628617437884812,null
A00135,0,6,0,1607911.69,6,1,0.15000000000000002,null
A00138,7,8,3014901.05,2373117.79,15,1,1.1972095775990026,null
A00141,5,6,1598233.3800000001,1895914.9599999997,11,1,1.5283230583498328,null
A00146,6,3,2708568.38,1412464.6099999999,8,1,0.7217095853889084,null
A00148,6,9,2267929.12,3500844.9200000004,15,1,1.1114757220750353,null
A00152,4,11,1579560.6300000001,4777342.6899999995,15,2,0.7175855774611927,null
A00156,11,6,3444856.06,3152124.7,17,2,1.3033473163024656,null
A00157,6,5,1586235.8200000003,2150219.79,11,2,1.2159533269604066,null
A00163,4,8,1251717.96,3227542.13,12,1,0.7263446282356559,null
A00166,5,7,2337913.78,2553385.69,12,1,1.1507808849981234,null
A00169,4,10,1579206.12,3312315.8599999994,14,1,0.8539912047974867,null
A00171,5,5,2284421.27,1424176.87,10,1,0.7099458091072383,null
A00174,4,8,967771.97,4001178.73,12,2,0.6418708452826904,null
A00176,4,6,1038975.17,1218622.3699999999,10,1,0.6103995320929496,null
A00177,4,4,1239283.56,1393590.4300000002,7,1,0.4722629656197724,null
A00178,5,7,2255539.77,1633689.9000000001,12,1,0.773831994025827,null
A00179,7,6,2974621.5300000003,3014571.77,13,2,1.1892852344390061,null
A00182,8,5,3059733.21,1964955.4699999997,13,1,0.9695016633230652,null
A00183,6,5,2648825.51,2043798.9200000002,10,1,0.8363844897363895,null
A00184,7,5,2274176.97,1911647.07,12,3,1.0422167226357868,null
A00185,9,6,3817567.48,2306754.41,15,1,1.6193614138427854,null
A00187,9,9,2924514.5300000003,3536298.22,18,2,1.287184572254865,null
A00190,6,4,2057517.6199999999,1510071.3800000001,10,1,0.7035992927306719,null
A00191,5,7,2020704.7,2425713.0,12,1,0.7739341675110769,null
A00193,1,6,12221.84,2600301.04,7,1,0.20622481904660292,null
A00199,6,6,2290838.4400000004,1747702.8599999999,12,2,0.8813957797828754,null
A00203,6,3,2559878.48,1186669.1400000001,8,1,0.9270948032478753,null
A00211,11,4,4144876.1100000003,1933166.8699999999,15,1,2.4553084777524474,null
A00212,6,4,1532410.4100000001,1513373.64,10,1,0.7916851765714379,null
A00213,5,8,1447778.5,2890401.82,13,1,0.6378792385232425,null
A00218,10,7,3710311.9699999997,1871065.81,17,5,2.2502467470392875,null
A00219,5,10,1925927.04,4760523.370000001,15,1,1.703557447809991,null
A00220,7,7,1608247.94,2814748.93,14,1,0.7765931741139965,null
A00223,8,4,3423245.72,974227.86,12,2,1.2748748233467557,null
A00227,8,3,3449047.1300000004,845331.6199999999,11,1,1.3910073858398169,null
A00230,8,7,3292647.3000000003,3097145.21,15,2,2.0580945402166524,null
A00233,5,7,1157842.41,3539655.7800000003,12,2,0.90873866452989,null
A00234,7,9,2632983.27,4109773.63,16,3,1.1821832863469448,null
A00237,4,6,1408830.75,2280416.56,10,2,0.5642670582008777,null
A00238,1,5,180833.9,1209930.56,6,1,0.4104145527260069,null
A00239,8,3,2339747.36,1631494.2600000002,10,1,1.2149882423593437,null
A00244,6,4,2445917.68,1613773.21,10,1,0.7083709175720192,null
A00245,5,7,1459370.1099999999,1836021.75,12,1,0.8194511934367443,null
A00249,5,8,1823327.3599999999,3009764.81,13,1,0.9995488216944367,null
A00250,8,7,3177486.12,2372345.1,15,1,1.082964989048617,null
A00251,4,5,1232836.72,1671928.48,9,1,0.8164203050430258,null
A00254,9,6,2860961.6500000004,2231881.39,15,2,1.939741082836794,null
A00259,10,4,4138783.54,1811740.96,14,2,1.424251442264458,null
A00262,3,6,960654.47,2583550.51,9,1,0.5878629758389071,null
A00263,5,7,2383150.28,2039302.7800000003,12,2,0.7251682822668771,null
A00264,6,4,2374374.0599999996,642118.8,10,1,1.2900680423562862,null
A00266,7,9,3668615.0999999996,3882420.2300000004,16,2,0.8594870991250737,null
A00269,4,6,1449912.13,2383298.0,10,3,0.6538600875841678,null
A00270,7,3,2589762.4,1310228.21,10,1,1.6148033299507385,null
A00272,6,11,1415484.83,3097223.91,16,1,1.0357924816658892,null
A00273,7,4,2730721.83,2338022.9299999997,11,1,1.6517812656081599,null
A00276,4,8,960801.57,3529388.6799999997,12,1,0.495461885887,null
A00280,4,6,1501466.0899999999,2515711.36,10,1,0.5542328708279376,null
A00281,7,7,2091129.9700000002,2496536.67,14,1,1.48701544231604,null
A00285,9,2,2354493.38,724744.19,11,1,1.2403770049537368,null
A00288,8,9,3917816.38,4056289.13,17,1,1.2358581343744375,null
A00295,5,9,2336106.62,2639052.1799999997,14,1,1.0536898737569038,null
A00296,6,9,2578424.7,2641502.61,15,1,0.9534563215804258,null
A00301,6,7,3154680.96,2654093.7,13,1,1.3504402988000892,null
A00304,3,8,840347.5399999999,2385526.4200000004,11,2,0.4597374108743758,null
A00306,2,10,730367.2,3881197.4399999995,12,2,0.3661702478753536,null
A00308,4,6,1351877.2599999998,2561908.06,10,1,0.7741151244591873,null
A00309,3,5,1241209.63,1750783.42,8,1,0.5433749542534017,null
A00311,7,3,2602981.63,1272704.95,10,1,1.0272361777027,null
A00313,6,5,2969483.79,1516603.6600000001,11,1,0.9772781950593425,null
A00314,3,4,884027.48,1727969.9300000002,7,2,0.6260541840377347,null
A00315,4,7,2051623.2999999998,1808491.63,11,1,0.6600160570822793,null
A00316,6,3,3220645.1299999994,1363183.48,9,1,1.2532805991856746,null
A00319,9,13,2338890.27,4529972.18,21,2,1.9603952746540445,null
A00320,5,6,2672270.5100000002,2464562.1799999997,11,1,1.0280503541135215,null
A00322,8,5,2607754.8299999996,1874342.4100000001,13,2,1.1442654756629314,null
A00324,9,4,2140904.84,1006026.26,13,1,1.4280830502200548,null
A00327,7,5,2058800.4700000002,2808592.81,12,1,0.9495747498674394,null
A00332,13,7,5667367.710000001,1752601.8,20,2,1.5658055543648608,null
A00336,5,8,1420044.3499999999,2960204.68,13,1,0.9012819314185634,null
A00337,10,7,4006511.3500000006,2800980.1999999997,17,2,1.046607814045057,null
A00338,4,3,1897963.58,982668.91,7,1,0.7769541757096967,null
A00339,11,9,4384451.0200000005,3912212.3099999996,20,3,1.5544382882275158,null
A00340,6,5,2906990.64,1229078.29,11,2,1.0646147213051114,null
A00341,9,8,3550402.21,4032849.4499999997,17,2,2.146693592700844,null
A00344,6,9,2375469.7199999997,4443693.5600000005,15,2,0.8603466552751067,null
A00351,9,4,3395601.7300000004,855014.8799999999,13,3,1.3757884543544612,null
A00354,4,8,1542872.69,4286684.91,12,1,1.0578138734531086,null
A00355,5,6,2336303.11,1265981.37,11,1,0.7398485912014111,null
A00356,5,9,2016800.21,3566617.5200000005,14,2,0.7134993597058654,null
A00357,8,6,2205886.52,2329462.4,14,2,0.9249601033969259,null
A00358,8,8,3159489.34,2595355.21,16,2,1.0468685513551477,null
A00360,2,10,390730.25,5020959.6,12,1,0.5195892759855321,null
A00361,7,9,2830922.11,3825487.0799999996,16,3,0.9957126498630382,null
A00363,5,3,1942883.71,1482500.6099999999,8,1,0.7802788149300697,null
A00372,7,4,2162858.87,919037.17,11,1,0.9879869217785351,null
A00375,8,8,2634210.3899999997,3281624.0900000003,16,1,1.2256901407275718,null
A00376,7,7,2706899.4699999997,2921784.4199999995,14,2,1.0113301624509583,null
A00377,6,7,2095877.15,2409426.4699999997,13,3,0.8103542761214724,null
A00380,9,10,3481413.1500000004,3440527.1,19,3,2.3432012573917445,null
A00382,4,11,1613138.8900000001,3571738.63,14,1,0.9334123006488289,null
A00384,11,4,3363313.3499999996,916458.1000000001,15,2,2.193249023720714,null
A00385,4,7,1206074.48,3343995.69,11,2,0.5725114175712062,null
A00386,7,2,2470320.49,631837.14,9,1,1.0733286446861796,null
A00389,8,6,3213085.3299999996,2608947.9000000004,14,1,1.611455032258851,null
A00390,3,6,408916.3,1797739.5099999998,9,1,0.49594613095051904,null
A00393,3,8,1412343.52,2796524.2600000002,11,1,0.5705333503650952,null
A00395,7,4,3130131.0999999996,1384969.63,11,1,0.7901377678252066,null
A00397,7,11,2942694.56,4775646.859999999,18,1,0.9812315547329197,null
A00398,3,5,1438434.95,1469454.7599999998,8,1,0.42811151606448444,null
A00401,8,6,2974506.4199999995,2903202.94,14,1,1.4069891929697933,null
A00402,6,8,1334956.39,3142800.1100000003,14,1,1.909080083711321,null
A00403,6,4,2256909.2399999998,1600694.91,10,1,1.0888311634081564,null
A00404,4,5,1739558.6400000001,1878316.01,9,1,0.7181739446839591,null
A00405,7,7,4149955.6199999996,1925354.36,14,2,0.7815059361475237,null
A00406,6,8,1127897.3399999999,2275346.34,14,2,0.7963096881417806,null
A00410,5,9,1872114.0,3745510.62,14,2,0.5697308952351641,null
A00415,3,11,1384349.6400000001,3559011.840000001,14,2,0.5369417974484284,null
A00416,4,7,1880783.3599999999,3063510.0600000005,11,1,0.6466717537699531,null
A00417,8,1,2371277.09,161301.27,9,1,1.1185986351288888,null
A00419,1,5,433107.68,1586333.21,6,1,0.451665954989199,null
A00421,7,6,1940773.6500000001,3703534.28,13,1,1.160559919661277,null
A00423,6,5,2035444.36,1347380.08,11,2,1.1267112966468518,null
A00425,10,5,4746829.8,1641778.72,15,1,1.7939410906815905,null
A00427,3,6,905213.46,2527966.9299999997,9,1,1.1089756170026512,null
A00428,2,6,24878.3,1991850.73,8,1,0.3963513063647527,null
A00430,3,9,836148.05,3162508.5500000007,11,2,0.5796514760322322,null
A00432,0,9,0,3746637.32,9,1,0.15000000000000002,null
A00434,1,8,525961.8,3076723.6,9,1,0.23062579458996135,null
A00435,7,7,2658107.11,2880556.4299999997,13,1,1.3278630638566309,null
A00437,5,4,1856841.33,2057420.3,9,1,1.2211521777400556,null
A00438,6,8,2400308.7800000003,2999648.7600000002,14,2,0.8285969658137006,null
A00439,1,4,237583.78,1626620.74,5,1,0.23592036939376668,null
A00440,8,11,3407338.97,3336283.4399999995,18,2,1.0413161956149366,null
A00442,1,5,41966.56,2591073.6999999997,6,1,0.27873737573514074,null
A00450,6,6,3406062.4,2048299.86,12,2,1.043488499901894,null
A00455,2,6,936878.69,2349239.71,8,1,0.39250329432294995,null
A00461,10,5,4943665.180000001,2227035.5,15,2,1.2250295803236202,null
A00462,4,6,1392922.73,2827472.4399999995,10,1,1.069161376157166,null
A00463,3,10,1658341.78,4367558.66,12,1,0.4543511897102894,null
A00465,8,4,3972858.06,1713313.79,12,3,1.2171183797650915,null
A00466,4,6,1715431.21,2521905.57,10,1,0.5947563489850347,null
A00468,4,10,1339798.5100000002,3914395.2800000003,14,1,1.526082924978827,null
A00471,8,9,1719972.05,4536396.8100000005,16,1,1.1364732705766525,null
A00472,5,3,2173836.52,322317.1,8,1,0.6157738462303096,null
A00474,7,4,2949551.66,909745.0700000001,11,1,1.4157753276269898,null
A00484,4,8,1902548.23,2067408.9400000002,12,1,0.6740511563094909,null
A00485,9,7,3440046.3800000004,2749741.6799999997,16,1,1.137374562782479,null
A00486,7,5,4016705.03,2572674.55,12,1,0.9110592828358495,null
A00488,5,8,1243448.38,3021783.11,13,1,0.5807635509520807,null
A00489,4,4,1172366.24,1346633.58,8,1,0.6510927306699201,null
A00493,4,7,2079642.6100000003,3579640.3400000003,11,1,0.6496730084685232,null
A00497,7,6,3273905.86,1102027.36,13,1,1.2063208791545332,null
A00500,8,5,2384790.6,1395266.02,13,2,1.4708615895836579,null
A00504,2,4,816812.87,1342596.55,6,1,0.6062358791004524,null
A00505,4,5,2199273.83,2781867.04,9,2,0.8551670727981847,null
A00510,7,3,2499452.28,1948804.0100000002,10,1,1.3400559732737516,null
A00511,6,6,1219627.13,1470277.43,12,2,0.7625896465030819,null
A00512,7,5,3170627.17,2448155.76,12,1,1.01779509961619,null
A00513,6,6,2104927.57,1358321.52,12,2,1.1310952032124297,null
A00514,5,4,1965609.88,1023265.0099999999,9,2,0.8777124123252886,null
A00516,5,4,1988662.8,2344082.27,9,1,0.48460069637504877,null
A00517,10,3,3095385.9299999997,1326848.09,13,1,1.4545210080778759,null
A00518,8,3,2584370.26,739647.65,10,1,1.2552710649175605,null
A00520,7,8,1907951.13,3486784.7600000002,15,2,1.0926858882880537,null
A00522,7,4,2193458.23,1775162.3000000003,11,1,2.136132503337009,null
A00524,9,4,3688007.1900000004,1349285.5,13,1,1.26006914712553,null
A00525,8,7,2880694.4800000004,3657045.79,15,1,1.3516513031729647,null
A00528,6,4,2348263.88,1760899.5299999998,10,2,1.0292912366060702,null
A00531,9,6,4209609.720000001,2592101.01,15,2,1.4822239160480797,null
A00532,2,7,714262.4299999999,2864749.92,9,1,0.31097803463714624,null
A00538,5,7,2451886.91,4020366.4099999997,12,2,1.4855179756050017,null
A00539,4,3,1578823.55,522382.28,7,1,0.6999109262386182,null
A00540,3,9,1229063.5499999998,3480158.82,12,1,0.4809621957694169,null
A00541,5,8,1630595.82,1506934.4,13,1,0.9787236462323055,null
A00548,6,7,3510090.74,2050396.41,13,2,0.9261769875514789,null
A00550,9,5,3124596.34,2038933.2900000003,14,1,1.1843347203885215,null
A00554,6,6,2559392.58,2132566.0700000003,12,2,1.3700224845271236,null
A00555,4,9,832248.52,3478979.8200000003,13,1,0.598955170212966,null
A00558,5,8,1673627.1099999999,2167039.91,13,3,1.0963942682491408,null
A00562,8,5,3680687.8299999996,1331981.73,13,3,1.2155191565811954,null
A00568,3,6,345531.12,1910649.9900000002,9,1,0.7572605713411225,null
A00570,8,5,2963385.6700000004,2632689.62,13,4,1.2281504475603247,null
A00571,5,6,1232108.41,1961432.67,11,1,0.9656550134567295,null
A00572,5,5,2025668.1300000001,1508379.67,10,1,0.8817776171476276,null
A00575,6,5,2619135.31,954974.45,11,1,1.3871372282018968,null
A00577,9,6,4147951.0900000003,2118389.04,15,1,1.339251152972038,null
A00580,9,6,3919130.77,1594381.4400000002,15,1,1.4611222239905906,null
A00581,4,5,1583577.32,1456328.68,9,1,0.5824762989702142,null
A00584,6,5,946760.58,1976620.71,11,2,1.1707066456659958,null
A00585,8,7,2164152.36,2560631.6599999997,15,1,1.3796649810102386,null
A00588,8,6,3625064.21,2730756.13,14,2,1.1192619019065195,null
A00589,7,2,2723758.6300000004,871381.77,9,1,1.5770247988109416,null
A00592,7,1,2791983.25,206903.1,8,2,1.6787514813333317,null
A00600,8,7,2999363.5599999996,3216467.0700000003,15,2,1.7067919322920264,null
A00602,6,4,1678178.13,1300391.5,9,1,0.7822428678161272,null
A00603,3,3,1363893.79,1568227.1600000001,6,1,0.5543847725644633,null
A00606,6,7,2068965.8800000001,1760570.9400000002,13,1,1.345580171135404,null
A00608,7,8,2453279.8499999996,2419557.17,15,2,1.0471275834923521,null
A00609,4,7,1110601.32,1681065.1199999999,11,1,0.5589760205109674,null
A00619,11,2,5914629.42,596345.9,13,1,1.7914596645449516,null
A00621,3,7,1306399.7400000002,2901295.0300000003,10,1,0.5483562845063877,null
A00623,6,11,1511775.0299999998,3496567.19,17,1,1.061578810047444,null
A00627,4,7,1080966.23,2861133.4400000004,11,1,0.8613263109995675,null
A00629,7,10,2559531.8600000003,3097559.41,17,3,1.3392108436741132,null
A00634,6,6,1088231.6,1048753.36,12,1,0.6475816600917808,null
A00636,5,7,878119.37,2186889.62,12,1,0.974503172178118,null
A00637,9,13,3980528.1199999996,5232637.62,22,1,1.0360681018846614,null
A00640,6,4,2376823.25,1183065.2,10,1,0.5389980453816537,null
A00644,6,9,2741283.1799999997,2869891.98,14,2,0.8957598433184669,null
A00645,8,7,3583988.1500000004,2413370.02,15,2,0.9620145140899765,null
A00647,4,6,1555332.42,3018930.93,10,1,0.4812543832556023,null
A00648,3,4,1209775.95,1430453.53,7,1,0.5637218354381804,null
A00652,2,10,772775.86,4907764.49,12,1,0.42488250048808485,null
A00655,4,6,1317477.97,2715247.8200000003,10,1,0.3983658584918867,null
A00657,9,4,3659232.7100000004,1121220.18,13,2,1.1775777840761483,null
A00658,6,5,2784565.4400000004,1296948.4200000002,11,3,1.2529363493541128,null
A00659,4,4,1625097.31,1832419.25,8,1,0.7918250792379391,null
A00666,1,6,409073.12,2397200.09,7,1,0.3091568737668512,null
A00669,7,9,1856832.62,3353299.64,16,1,0.9902816952291014,null
A00670,4,7,1250032.4100000001,2386178.27,11,1,0.8296441260099094,null
A00671,6,8,1970523.2900000003,2701981.4799999995,14,2,0.827408979563212,null
A00675,3,7,1024150.39,2442746.5300000003,10,1,0.7180460439683984,null
A00677,5,8,1648372.7400000002,2772333.24,13,2,0.6815735796695492,null
A00678,5,6,1583175.28,2146794.6,11,1,0.9653086689867623,null
A00679,10,5,3581562.48,2266361.79,15,2,1.535939635341229,null
A00681,10,11,4329480.800000001,2875743.0,21,1,1.6846463781634615,null
A00684,2,7,458755.87,2265700.99,9,1,0.3244532488137945,null
A00687,6,8,2292144.88,2932670.23,14,3,1.0643647048511191,null
A00689,8,8,2442282.86,2450365.6799999997,16,2,1.2345654287813426,null
A00692,6,6,2840263.36,2318740.93,12,1,0.7573828523135843,null
A00694,8,8,1995324.6099999999,4434421.93,16,6,1.168932069390311,null
A00696,6,2,1613182.8499999999,1171366.17,8,1,0.5149439563643161,null
A00698,8,11,3736600.1399999997,5440884.859999999,19,3,1.686378130860466,null
A00703,6,6,2767156.2199999997,1475418.59,12,2,0.8864303726083727,null
A00711,8,5,3125031.44,1672378.21,13,1,1.5090525659140694,null
A00713,6,7,2941868.78,2617965.5300000003,13,1,1.1238333914048737,null
A00715,5,7,1652436.5299999998,2884692.46,12,1,0.8890159880813052,null
A00716,6,5,2335382.13,2563629.6,11,2,1.207274655451614,null
A00717,8,6,2232607.4299999997,3116195.33,14,1,1.552673448274772,null
A00721,3,9,1469629.06,4093015.1500000004,12,1,0.6197606268434762,null
A00722,11,7,3495260.15,3033941.24,18,2,2.1561307367479783,null
A00726,4,9,1577044.4999999998,2155742.96,13,1,0.5921013244707708,null
A00729,8,4,2795750.31,1577039.08,12,1,1.0230675640733335,null
A00730,6,9,2701910.08,4788900.5600000005,15,1,1.133511259259979,null
A00731,5,5,2413770.1799999997,1667096.6500000001,10,1,0.8999753111680466,null
A00732,8,4,3115572.27,1954415.1199999999,12,2,1.0484916514208322,null
A00735,6,11,2376827.84,3291859.38,17,1,1.0613322117964648,null
A00736,5,8,1608296.6300000001,2134541.9,13,1,0.9689808934248535,null
A00738,7,10,1573071.12,3962043.340000001,17,1,1.3949925974084973,null
A00741,7,4,2767722.85,1745731.58,11,2,2.2563043621026506,null
A00742,7,7,2312031.3699999996,3630305.88,14,2,1.0525594088089532,null
A00744,6,9,2525627.3000000003,2839546.51,15,2,1.9582573101453216,null
A00748,9,6,3997527.25,1866253.28,14,1,1.7762331208875697,null
A00750,4,7,1140822.0,3419947.05,11,1,0.4930018952076695,null
A00753,7,4,2755028.79,566745.99,11,1,1.4403938206280775,null
A00754,11,2,4699583.67,389243.61,13,1,2.0868524499838115,null
A00758,1,5,743056.22,1653724.3299999998,6,1,0.23407261142250563,null
A00759,7,4,3585947.9699999997,1748537.9899999998,11,2,1.0475059620396245,null
A00761,6,4,1446840.57,1408944.4,10,2,0.9168164969204771,null
A00762,6,7,2638015.8899999997,2362056.14,13,2,0.7435967435535995,null
A00767,10,9,3751932.41,2516930.14,18,1,1.4158244620356084,null
A00776,8,8,3019902.98,2804333.3699999996,16,5,1.1329305215178618,null
A00779,6,3,2286171.14,1691734.52,9,1,1.080243825844837,null
A00781,7,7,2837231.14,2509286.31,14,1,1.1122810441822852,null
A00782,9,6,3792290.1200000006,3057051.35,15,1,1.080223926339096,null
A00783,5,6,2061568.28,1577226.34,11,1,0.8978143179268282,null
A00785,12,5,4789398.9399999995,1762941.6500000004,16,2,2.2105048207991107,null
A00786,4,10,1006366.1499999999,3394562.4000000004,14,2,0.5449851547871283,null
A00787,11,9,3384835.67,4037395.9399999995,20,5,1.4877832710762553,null
A00789,7,4,2995942.16,1571558.1900000002,11,1,1.4242196069858524,null
A00790,5,2,2145898.6399999997,796187.44,7,1,0.6802152534343381,null
A00796,7,8,2640673.8300000005,3293564.08,15,1,1.225529850994412,null
A00797,10,4,4375080.91,871071.47,14,1,1.3444778888043276,null
A00798,8,5,4304403.51,2010662.0300000003,12,1,1.3268692208899622,null
A00805,2,5,957806.94,1551803.2000000002,7,1,0.4423848626948452,null
A00807,5,7,1801431.1,2464653.4000000004,12,1,0.95253815119615,null
A00808,11,7,4962690.319999999,3824315.7199999997,17,1,1.8195562501881835,null
A00815,6,7,1916733.4100000001,2338730.02,13,1,0.9651951014298722,null
A00817,10,10,4734326.59,4199956.180000001,20,4,1.620410083688098,null
A00823,7,8,2579574.97,2983343.66,15,3,1.4892780939834607,null
A00824,7,9,2013248.97,2399664.8400000003,15,2,1.1235250116160922,null
A00825,8,6,3244550.03,2020270.49,14,1,1.2869657252551712,null
A00829,5,7,2290454.8400000003,2839350.92,12,1,0.7964553760387489,null
A00831,7,3,3040198.4699999997,1135387.5899999999,10,1,0.857171556602662,null
A00832,11,8,4312904.33,3248982.38,19,1,1.8010628360078427,null
A00834,5,2,2456273.16,672357.74,7,2,1.4570290558225376,null
A00836,5,5,1103173.73,2226897.6999999997,10,1,0.9153534075808837,null
A00841,4,4,2183229.69,1934755.52,8,1,0.9765427357121846,null
A00843,4,2,1270290.6700000002,607188.54,6,1,0.8011133293455452,null
A00845,9,6,3453193.0700000003,1994218.8600000003,15,1,1.7051016921087454,null
A00849,7,3,2675910.69,460445.11,10,1,1.096781320854725,null
A00851,7,9,3921712.0900000003,4390461.34,16,1,0.8947028819539199,null
A00853,8,3,2951014.24,631396.51,11,1,1.2152223594192075,null
A00858,6,4,2010836.4,1887496.1600000001,10,1,1.3666297526966797,null
A00860,13,7,6408150.25,1858996.6300000001,20,1,1.4308410496287733,null
A00862,7,6,2405037.3400000003,2392901.7600000002,13,2,1.1878385518327732,null
A00863,9,4,4153199.1500000004,1128503.13,13,1,0.9863488038668747,null
A00867,5,7,1628766.98,2540801.04,12,1,0.7859051336275842,null
A00874,6,3,3053631.63,1096295.73,9,1,0.7359379637833942,null
A00876,3,7,1270930.56,2263674.97,10,2,0.47638981112473266,null
A00878,5,3,794034.38,369420.53,8,1,1.2704357575117697,null
A00880,11,10,4177421.23,2679816.8000000003,21,1,1.839079946993727,null
A00881,15,5,4941795.100000001,2369539.31,19,1,1.749867459235772,null
A00883,8,10,3387979.9899999998,4536066.51,18,3,0.9369068239625192,null
A00885,3,4,1225475.58,1550289.4100000001,7,1,0.4127448581880786,null
A00888,5,7,1982050.29,3188360.8499999996,12,1,0.8086076457181367,null
A00889,10,4,4955514.65,1426628.22,14,1,1.6188133889916014,null
A00894,8,2,1671847.7599999998,325944.08,10,1,1.1778708661083217,null
A00895,7,6,2487238.76,1950266.6600000001,13,1,1.5073638124626658,null
A00896,13,5,4978593.53,2038942.98,18,1,2.3819821127155154,null
A00901,3,8,585263.96,2808518.53,11,1,0.466509304430143,null
A00902,6,9,1503122.92,2546231.42,15,1,1.1880229509502165,null
A00905,6,6,2263690.54,1928349.1800000002,12,1,1.0566036056418344,null
A00907,7,5,2896392.27,2140528.46,12,1,0.9968272429962134,null
A00909,6,8,1342791.68,3334945.01,14,2,0.7382768284869922,null
A00915,8,4,2895643.84,1736679.09,12,1,1.158662035113375,null
A00920,7,8,2542078.9699999997,2854018.2399999998,15,1,1.0679151774758846,null
A00922,4,6,565732.97,1336437.44,10,2,0.6404462367100006,null
A00926,5,5,1285131.8699999999,1983179.91,10,1,0.43925574556491087,null
A00927,11,4,3618763.3699999996,1267820.2400000002,15,2,1.6421590782392854,null
A00937,7,6,2418941.5700000003,2388816.76,13,1,1.276971543664687,null
A00939,5,6,1184400.6700000002,2016079.4100000001,11,1,0.9230143894573665,null
