case_id,fir_number,case_type,case_category,registration_date,incident_date,incident_location_id,police_station,jurisdiction,case_status,investigating_unit,source_document_id,confidence_score,created_at,updated_at
C00027,FIR/2025/7722,Organized Crime,Cybercrime,2025-10-17,2025-10-06,L01267,Jaipur Central Police Station,Kota,Open,Economic Offences Unit,DOC01675,0.98,2024-11-02 07:09:41,2026-06-30 11:15:19
C00028,FIR/2024/7337,Criminal,Money Laundering,2024-11-07,2024-10-21,L00338,Surat Central Police Station,Ahmedabad,Under Investigation,Economic Offences Unit,DOC00393,0.82,2025-01-14 23:01:28,2026-06-03 04:20:42
C00029,FIR/2025/8604,Organized Crime,Assault,2025-06-27,2025-06-24,L01488,Kota Central Police Station,Jabalpur,Pending Trial,Economic Offences Unit,DOC00654,0.97,2026-05-20 23:12:20,2026-06-12 21:12:20
C00030,FIR/2026/4474,Economic,Burglary,2026-02-15,2026-01-16,L00026,Vadodara Central Police Station,Kanpur,Closed,Economic Offences Unit,DOC00607,0.82,2025-01-12 22:07:58,2025-09-07 01:40:37
C00031,FIR/2026/9601,Organized Crime,Illegal Gambling,2026-05-17,2026-05-02,L01216,Jabalpur Central Police Station,Kota,Under Investigation,Cyber Cell,DOC01634,0.96,2024-08-14 13:26:51,2024-10-27 22:22:38
C00032,FIR/2025/7841,Criminal,Extortion,2025-09-24,2025-09-02,L02342,Pune Central Police Station,Surat,Closed,Crime Branch,DOC02916,0.88,2024-07-14 23:15:57,2025-01-05 14:53:53
C00033,FIR/2024/7669,Economic,Extortion,2024-08-23,2024-08-20,L00565,Nagpur Central Police Station,Kanpur,Open,Cyber Cell,DOC01064,0.97,2026-08-25 17:52:56,2026-09-04 23:59:59
C00034,FIR/2025/9028,Cyber,Cybercrime,2025-05-30,2025-05-06,L00276,Dewas Central Police Station,Hyderabad,Pending Trial,Economic Offences Unit,DOC01234,0.86,2024-02-20 14:24:47,2024-07-22 06:10:20
C00035,FIR/2024/7656,Cyber,Forgery,2024-10-21,2024-09-22,L00211,Lucknow Central Police Station,Pune,Pending Trial,Local Police,DOC00868,0.8,2026-07-10 21:59:29,2026-07-28 02:59:29
C00036,FIR/2024/1565,Criminal,Burglary,2024-08-18,2024-08-03,L01300,Bengaluru Central Police Station,Lucknow,Open,Economic Offences Unit,DOC00775,0.82,2025-08-02 04:55:42,2025-08-12 06:55:42
C00037,FIR/2026/4990,Cyber,Cybercrime,2026-09-04,2026-08-17,L01381,Vadodara Central Police Station,Bhopal,Open,Local Police,DOC00303,0.83,2026-05-16 10:28:11,2026-05-22 10:28:11
C00038,FIR/2024/4090,Cyber,Assault,2025-01-04,2024-12-21,L01889,Gwalior Central Police Station,Dewas,Open,Cyber Cell,DOC02989,0.88,2025-12-08 00:23:57,2025-12-15 05:23:57
C00039,FIR/2024/6589,Organized Crime,Burglary,2024-08-12,2024-08-11,L00781,Pune Central Police Station,Delhi,Pending Trial,Cyber Cell,DOC01057,0.88,2024-03-28 19:56:18,2026-07-08 02:44:12
C00040,FIR/2025/7673,Cyber,Robbery,2025-08-15,2025-07-28,L01989,Vadodara Central Police Station,Indore,Pending Trial,Local Police,DOC02204,0.92,2025-02-21 06:50:48,2025-05-16 06:29:49
C00041,FIR/2025/6643,Organized Crime,Assault,2025-03-23,2025-03-07,L01744,Kanpur Central Police Station,Gwalior,Open,Economic Offences Unit,DOC01322,0.82,2024-09-25 10:31:16,2025-02-09 16:37:03
C00042,FIR/2026/3518,Organized Crime,Burglary,2026-07-23,2026-07-15,L01435,Indore Central Police Station,Bhopal,Pending Trial,Local Police,DOC02701,0.92,2025-09-10 01:52:54,2025-11-30 23:34:52
C00043,FIR/2026/3479,Cyber,Extortion,2026-01-09,2026-01-03,L02298,Kota Central Police Station,Mumbai,Closed,Crime Branch,DOC00594,0.81,2025-01-15 07:09:04,2025-10-25 08:42:01
C00044,FIR/2025/7744,Organized Crime,Assault,2025-06-12,2025-05-22,L02277,Nagpur Central Police Station,Ujjain,Under Investigation,Economic Offences Unit,DOC02701,0.85,2025-06-01 19:24:25,2025-06-12 21:24:25
C00045,FIR/2024/1482,Cyber,Illegal Gambling,2024-08-07,2024-07-22,L01421,Ujjain Central Police Station,Bengaluru,Open,Economic Offences Unit,DOC00744,0.95,2025-11-06 02:29:10,2025-11-20 21:29:10
C00046,FIR/2025/8794,Cyber,Money Laundering,2025-11-25,2025-11-09,L00933,Vadodara Central Police Station,Kanpur,Pending Trial,Local Police,DOC00834,0.84,2024-04-06 14:10:44,2026-03-18 13:19:36
C00047,FIR/2025/7380,Economic,Robbery,2025-01-06,2025-01-04,L00927,Kanpur Central Police Station,Jabalpur,Open,Cyber Cell,DOC00642,0.83,2024-12-01 15:57:26,2024-12-15 15:57:26
C00048,FIR/2026/8044,Criminal,Money Laundering,2026-03-20,2026-03-16,L00818,Kanpur Central Police Station,Delhi,Pending Trial,Economic Offences Unit,DOC02114,0.95,2025-11-06 03:20:31,2025-11-12 18:20:31
C00049,FIR/2026/6218,Economic,Fraud,2026-02-21,2026-02-03,L00285,Indore Central Police Station,Jabalpur,Pending Trial,Cyber Cell,DOC02351,0.9,2024-01-11 19:25:54,2025-07-13 03:29:55
C00050,FIR/2025/6084,Cyber,Money Laundering,2025-09-05,2025-08-07,L01369,Ujjain Central Police Station,Jabalpur,Open,Crime Branch,DOC00392,0.88,2024-10-28 06:40:18,2025-05-28 13:06:45
C00051,FIR/2026/6780,Organized Crime,Illegal Gambling,2026-04-14,2026-03-18,L00432,Nagpur Central Police Station,Pune,Pending Trial,Cyber Cell,DOC02312,0.81,2024-07-28 10:00:50,2026-03-29 12:31:06
C00052,FIR/2025/4681,Cyber,Illegal Gambling,2025-02-22,2025-02-05,L01179,Hyderabad Central Police Station,Hyderabad,Closed,Local Police,DOC02660,0.91,2024-04-12 09:25:38,2026-02-20 20:06:57
C00053,FIR/2025/4366,Economic,Assault,2025-01-08,2025-01-04,L01366,Gwalior Central Police Station,Lucknow,Pending Trial,Crime Branch,DOC01037,0.96,2024-04-13 04:39:03,2026-05-23 21:59:03
C00054,FIR/2024/2518,Cyber,Cybercrime,2025-01-05,2024-12-15,L00794,Kanpur Central Police Station,Dewas,Pending Trial,Economic Offences Unit,DOC02176,0.8,2024-11-02 09:57:40,2024-11-08 03:57:40
C00055,FIR/2024/3970,Cyber,Extortion,2024-03-04,2024-02-23,L01151,Bhopal Central Police Station,Gwalior,Open,Cyber Cell,DOC00675,0.96,2024-03-05 11:09:06,2025-07-22 18:17:53
C00056,FIR/2026/9733,Economic,Forgery,2026-08-24,2026-08-19,L01933,Vadodara Central Police Station,Ujjain,Under Investigation,Economic Offences Unit,DOC00353,0.89,2024-09-09 16:54:53,2024-12-11 07:19:34
C00057,FIR/2024/3277,Economic,Cybercrime,2024-09-26,2024-09-11,L02171,Kanpur Central Police Station,Nagpur,Under Investigation,Economic Offences Unit,DOC02189,0.88,2025-02-08 14:11:40,2026-07-17 06:25:34
C00058,FIR/2024/5754,Criminal,Illegal Gambling,2024-05-29,2024-05-06,L00419,Gwalior Central Police Station,Gurugram,Open,Economic Offences Unit,DOC02261,0.84,2025-05-15 05:10:49,2025-12-16 14:05:12
C00059,FIR/2025/0676,Cyber,Robbery,2025-12-05,2025-11-29,L01930,Kanpur Central Police Station,Indore,Closed,Local Police,DOC00818,0.96,2024-05-17 07:19:58,2024-12-23 02:39:21
C00060,FIR/2024/6893,Cyber,Cybercrime,2025-01-05,2024-12-10,L00628,Surat Central Police Station,Hyderabad,Under Investigation,Cyber Cell,DOC02412,0.89,2024-05-29 10:04:57,2024-06-08 23:18:04
C00061,FIR/2025/3960,Organized Crime,Cybercrime,2025-07-30,2025-07-11,L00414,Bhopal Central Police Station,Ahmedabad,Closed,Economic Offences Unit,DOC02152,0.93,2026-04-17 12:39:32,2026-04-25 05:39:32
C00062,FIR/2024/9339,Cyber,Cybercrime,2024-03-15,2024-03-11,L02236,Jabalpur Central Police Station,Vadodara,Pending Trial,Crime Branch,DOC02181,0.81,2024-06-08 06:50:23,2026-07-02 00:08:49
C00063,FIR/2025/9540,Organized Crime,Robbery,2025-09-09,2025-08-31,L01940,Kota Central Police Station,Lucknow,Closed,Crime Branch,DOC01250,0.95,2024-12-27 03:33:21,2026-07-02 13:15:52
C00064,FIR/2024/7213,Economic,Illegal Gambling,2024-11-26,2024-11-08,L01177,Bhopal Central Police Station,Kanpur,Under Investigation,Cyber Cell,DOC00182,0.82,2025-06-08 10:03:00,2025-12-25 08:32:59
C00065,FIR/2026/0946,Economic,Burglary,2026-02-12,2026-01-24,L01810,Gurugram Central Police Station,Delhi,Closed,Local Police,DOC00468,0.81,2025-01-22 14:49:25,2026-01-13 08:44:04
C00066,FIR/2025/6997,Cyber,Vehicle Theft,2025-08-16,2025-08-12,L00714,Bhopal Central Police Station,Ahmedabad,Under Investigation,Cyber Cell,DOC02219,0.91,2025-11-03 05:23:46,2025-11-24 02:23:46
C00067,FIR/2024/9512,Criminal,Smuggling,2024-08-07,2024-07-16,L02043,Gwalior Central Police Station,Gurugram,Pending Trial,Crime Branch,DOC02343,0.96,2025-10-16 05:40:36,2025-10-31 20:40:36
C00068,FIR/2024/1406,Economic,Assault,2024-12-14,2024-12-04,L01196,Jaipur Central Police Station,Bhopal,Pending Trial,Local Police,DOC01428,0.84,2025-05-30 09:16:39,2025-06-09 06:12:15
C00069,FIR/2026/2036,Criminal,Forgery,2026-07-29,2026-07-07,L00753,Lucknow Central Police Station,Delhi,Open,Economic Offences Unit,DOC01699,0.82,2026-01-10 22:56:58,2026-02-08 00:56:58
C00070,FIR/2024/7624,Criminal,Vehicle Theft,2024-11-13,2024-11-07,L00197,Ahmedabad Central Police Station,Gurugram,Pending Trial,Cyber Cell,DOC01013,0.97,2025-01-26 12:31:19,2026-02-03 21:38:05
C00071,FIR/2024/5162,Cyber,Assault,2024-02-01,2024-01-12,L02426,Mumbai Central Police Station,Kanpur,Closed,Crime Branch,DOC01359,0.82,2025-10-24 01:54:57,2025-10-28 22:54:57
C00072,FIR/2025/8858,Cyber,Smuggling,2025-08-09,2025-07-31,L01569,Gurugram Central Police Station,Jaipur,Pending Trial,Cyber Cell,DOC02205,0.94,2025-05-15 08:23:05,2025-08-31 17:37:04
C00073,FIR/2025/7694,Criminal,Money Laundering,2025-07-15,2025-07-12,L02273,Kanpur Central Police Station,Jaipur,Under Investigation,Local Police,DOC02783,0.96,2025-12-20 19:57:37,2026-01-15 12:57:37
C00074,FIR/2024/7146,Organized Crime,Money Laundering,2024-07-13,2024-06-16,L00357,Mumbai Central Police Station,Bhopal,Open,Economic Offences Unit,DOC01081,0.95,2025-06-24 23:05:21,2026-05-12 03:16:36
C00075,FIR/2025/3568,Economic,Illegal Gambling,2025-11-18,2025-11-04,L00921,Vadodara Central Police Station,Pune,Pending Trial,Local Police,DOC00447,0.86,2025-07-02 00:22:30,2026-08-29 12:02:04
C00076,FIR/2024/6681,Economic,Burglary,2024-08-22,2024-08-04,L00939,Bhopal Central Police Station,Gurugram,Pending Trial,Cyber Cell,DOC00026,0.95,2026-03-26 10:44:03,2026-04-05 22:44:03
C00077,FIR/2024/3023,Economic,Extortion,2024-08-03,2024-07-21,L01440,Kanpur Central Police Station,Hyderabad,Closed,Cyber Cell,DOC01844,0.88,2026-02-05 21:40:48,2026-02-28 01:40:48
C00078,FIR/2024/6307,Economic,Cybercrime,2024-02-13,2024-02-05,L01387,Kota Central Police Station,Jaipur,Closed,Crime Branch,DOC01044,0.98,2025-03-08 07:25:11,2025-03-08 08:25:11
C00079,FIR/2024/2158,Economic,Vehicle Theft,2024-09-28,2024-08-30,L00796,Bengaluru Central Police Station,Dewas,Closed,Economic Offences Unit,DOC01863,0.85,2025-04-12 07:44:49,2025-05-02 15:44:49
C00080,FIR/2025/9703,Economic,Fraud,2026-01-04,2025-12-31,L01079,Jaipur Central Police Station,Gwalior,Closed,Economic Offences Unit,DOC02777,0.92,2025-11-06 16:46:49,2025-11-30 08:46:49
C00081,FIR/2026/5954,Criminal,Assault,2026-08-22,2026-07-29,L00406,Bhopal Central Police Station,Pune,Pending Trial,Economic Offences Unit,DOC01054,0.92,2024-07-07 08:40:12,2025-09-08 07:45:26
C00082,FIR/2026/1388,Organized Crime,Money Laundering,2026-06-18,2026-06-03,L00515,Bhopal Central Police Station,Bhopal,Closed,Local Police,DOC02702,0.83,2024-11-01 17:32:28,2024-11-05 03:32:28
C00083,FIR/2024/3845,Economic,Burglary,2024-08-30,2024-08-12,L01120,Gurugram Central Police Station,Lucknow,Pending Trial,Local Police,DOC02962,0.9,2025-03-24 02:51:25,2025-03-28 21:51:25
C00084,FIR/2025/2017,Economic,Vehicle Theft,2025-12-29,2025-12-25,L02398,Hyderabad Central Police Station,Hyderabad,Under Investigation,Cyber Cell,DOC01614,0.82,2026-02-09 12:46:32,2026-02-09 17:46:32
C00085,FIR/2025/7552,Economic,Burglary,2025-07-27,2025-07-03,L01740,Bengaluru Central Police Station,Delhi,Pending Trial,Local Police,DOC00418,0.94,2025-03-12 10:09:36,2025-06-04 13:29:10
C00086,FIR/2026/0343,Criminal,Forgery,2026-05-23,2026-05-19,L00165,Surat Central Police Station,Jaipur,Open,Cyber Cell,DOC02167,0.82,2025-08-16 12:30:39,2025-09-03 10:30:39
C00087,FIR/2024/5354,Cyber,Extortion,2024-09-12,2024-09-08,L01462,Gwalior Central Police Station,Jaipur,Open,Local Police,DOC01898,0.84,2024-07-07 14:32:58,2025-08-03 02:59:17
C00088,FIR/2025/9980,Organized Crime,Cybercrime,2025-11-11,2025-11-02,L00413,Vadodara Central Police Station,Jaipur,Pending Trial,Local Police,DOC02712,0.89,2024-09-27 05:58:43,2024-10-11 23:58:43
C00089,FIR/2024/3943,Economic,Fraud,2024-05-10,2024-04-17,L02455,Jabalpur Central Police Station,Bhopal,Pending Trial,Crime Branch,DOC02267,0.94,2026-03-09 08:03:40,2026-04-01 08:03:40
C00090,FIR/2024/3891,Cyber,Cybercrime,2024-04-08,2024-03-22,L01415,Bengaluru Central Police Station,Hyderabad,Closed,Local Police,DOC02744,0.91,2024-01-24 11:40:00,2024-08-15 08:03:53
C00091,FIR/2024/8808,Economic,Illegal Gambling,2024-01-03,2024-01-03,L01965,Lucknow Central Police Station,Dewas,Closed,Local Police,DOC00046,0.8,2024-12-06 11:08:18,2026-01-16 07:03:45
C00092,FIR/2026/2596,Criminal,Extortion,2026-04-07,2026-04-06,L01662,Nagpur Central Police Station,Jaipur,Pending Trial,Cyber Cell,DOC01887,0.95,2024-08-11 11:52:14,2024-11-02 10:05:12
C00093,FIR/2026/1620,Organized Crime,Cybercrime,2026-05-09,2026-05-09,L02383,Surat Central Police Station,Ahmedabad,Open,Local Police,DOC00498,0.87,2024-01-10 11:05:43,2026-01-20 21:10:02
C00094,FIR/2024/4873,Criminal,Fraud,2024-05-18,2024-05-11,L02058,Mumbai Central Police Station,Gurugram,Open,Crime Branch,DOC01105,0.81,2025-11-05 21:17:39,2025-11-11 20:17:39
C00095,FIR/2025/4647,Organized Crime,Illegal Gambling,2025-04-21,2025-03-31,L00252,Nagpur Central Police Station,Kanpur,Under Investigation,Cyber Cell,DOC00125,0.83,2025-03-29 18:59:31,2026-06-07 08:12:08
C00096,FIR/2026/2386,Economic,Vehicle Theft,2026-02-23,2026-02-08,L01394,Lucknow Central Police Station,Bhopal,Open,Crime Branch,DOC02322,0.88,2025-05-12 07:03:32,2026-06-17 08:28:06
C00097,FIR/2025/9585,Organized Crime,Cybercrime,2026-01-10,2025-12-25,L02053,Lucknow Central Police Station,Gurugram,Under Investigation,Crime Branch,DOC00524,0.81,2024-05-18 07:16:54,2025-02-10 17:24:25
C00098,FIR/2025/3177,Organized Crime,Assault,2025-11-27,2025-10-28,L01982,Bhopal Central Police Station,Bengaluru,Open,Economic Offences Unit,DOC02371,0.88,2024-06-29 13:51:44,2026-05-28 16:52:58
C00099,FIR/2026/0637,Economic,Vehicle Theft,2026-02-24,2026-02-24,L02197,Nagpur Central Police Station,Kota,Closed,Cyber Cell,DOC02110,0.88,2026-07-13 09:01:34,2026-08-06 01:01:34
C00100,FIR/2024/6762,Cyber,Vehicle Theft,2024-09-05,2024-08-27,L00948,Kanpur Central Police Station,Bengaluru,Open,Local Police,DOC00231,0.87,2024-12-04 09:41:48,2026-08-28 22:58:19
C00101,FIR/2026/5464,Economic,Forgery,2026-04-10,2026-03-13,L01331,Mumbai Central Police Station,Ahmedabad,Pending Trial,Cyber Cell,DOC02279,0.81,2024-01-16 10:23:54,2024-02-03 21:27:51
C00102,FIR/2025/5157,Organized Crime,Money Laundering,2025-07-18,2025-07-18,L00121,Bhopal Central Police Station,Dewas,Pending Trial,Cyber Cell,DOC01820,0.88,2024-06-12 12:06:40,2025-01-20 00:11:58
C00103,FIR/2025/0822,Criminal,Assault,2025-03-18,2025-03-13,L02372,Hyderabad Central Police Station,Delhi,Pending Trial,Crime Branch,DOC01595,0.93,2026-04-25 07:58:40,2026-05-15 20:58:40
C00104,FIR/2026/7014,Economic,Money Laundering,2026-04-28,2026-04-17,L01236,Bhopal Central Police Station,Mumbai,Closed,Cyber Cell,DOC02988,0.86,2024-05-15 03:46:44,2025-08-02 23:12:19
C00105,FIR/2026/6942,Cyber,Robbery,2026-02-09,2026-01-17,L02404,Jaipur Central Police Station,Indore,Pending Trial,Crime Branch,DOC00930,0.98,2024-12-23 07:24:31,2026-02-11 22:37:37
C00106,FIR/2026/8922,Organized Crime,Vehicle Theft,2026-05-31,2026-05-09,L00682,Vadodara Central Police Station,Delhi,Pending Trial,Cyber Cell,DOC00444,0.95,2024-12-08 20:17:24,2024-12-23 05:17:24
C00107,FIR/2025/7109,Criminal,Money Laundering,2025-06-09,2025-05-30,L01747,Bhopal Central Police Station,Bengaluru,Pending Trial,Economic Offences Unit,DOC02970,0.87,2025-12-13 23:18:13,2025-12-19 09:18:13
C00108,FIR/2026/6936,Organized Crime,Cybercrime,2026-09-04,2026-08-19,L00879,Gwalior Central Police Station,Kanpur,Pending Trial,Cyber Cell,DOC02068,0.82,2025-07-27 22:12:11,2026-08-13 02:23:51
C00109,FIR/2026/3721,Criminal,Extortion,2026-04-11,2026-04-05,L01954,Lucknow Central Police Station,Jaipur,Open,Cyber Cell,DOC01998,0.91,2025-09-08 11:45:39,2025-10-05 00:45:39
C00110,FIR/2025/4398,Economic,Vehicle Theft,2025-04-26,2025-04-13,L01085,Kota Central Police Station,Jabalpur,Pending Trial,Local Police,DOC01844,0.93,2024-12-27 19:14:07,2026-05-24 11:30:00
C00111,FIR/2025/6639,Cyber,Fraud,2025-03-25,2025-03-04,L00687,Nagpur Central Police Station,Lucknow,Closed,Local Police,DOC02257,0.93,2024-07-10 05:32:39,2026-01-21 05:33:53
C00112,FIR/2025/2387,Cyber,Extortion,2025-06-06,2025-06-01,L01574,Ujjain Central Police Station,Mumbai,Closed,Crime Branch,DOC01059,0.86,2025-02-08 17:09:40,2026-05-22 16:33:07
C00113,FIR/2025/5714,Cyber,Cybercrime,2025-08-22,2025-08-07,L01218,Ujjain Central Police Station,Ahmedabad,Open,Cyber Cell,DOC01786,0.95,2025-02-28 15:09:50,2026-02-18 13:59:32
C00114,FIR/2025/3161,Organized Crime,Robbery,2025-09-01,2025-08-27,L01157,Kanpur Central Police Station,Kanpur,Open,Crime Branch,DOC01651,0.96,2024-12-05 08:07:10,2026-07-23 05:22:56
C00115,FIR/2024/4090,Cyber,Fraud,2024-03-15,2024-03-10,L02390,Nagpur Central Police Station,Ujjain,Closed,Local Police,DOC01753,0.84,2024-06-04 16:29:50,2024-07-29 11:23:26
C00116,FIR/2025/1319,Criminal,Burglary,2025-06-15,2025-05-29,L01228,Jabalpur Central Police Station,Kota,Under Investigation,Crime Branch,DOC01433,0.85,2026-03-28 12:31:42,2026-04-19 08:31:42
C00117,FIR/2026/2066,Criminal,Burglary,2026-06-30,2026-06-17,L02478,Jabalpur Central Police Station,Surat,Under Investigation,Crime Branch,DOC01100,0.94,2025-08-25 01:30:37,2025-09-10 07:30:37
C00118,FIR/2025/0784,Criminal,Burglary,2025-10-01,2025-09-23,L00477,Pune Central Police Station,Mumbai,Under Investigation,Local Police,DOC01402,0.84,2024-05-25 20:12:53,2024-06-03 16:12:53
C00119,FIR/2026/6168,Cyber,Vehicle Theft,2026-01-12,2026-01-10,L02060,Vadodara Central Police Station,Ahmedabad,Open,Cyber Cell,DOC01296,0.87,2026-04-27 06:43:40,2026-05-08 07:43:40
C00120,FIR/2025/9031,Criminal,Burglary,2026-01-03,2025-12-18,L00655,Ujjain Central Police Station,Ujjain,Closed,Cyber Cell,DOC01362,0.82,2025-12-05 09:50:22,2025-12-27 22:30:57
C00121,FIR/2024/2532,Cyber,Money Laundering,2024-05-16,2024-05-11,L00848,Ahmedabad Central Police Station,Delhi,Under Investigation,Economic Offences Unit,DOC01642,0.91,2026-04-09 13:57:11,2026-04-26 22:57:11
C00122,FIR/2026/6941,Organized Crime,Fraud,2026-08-30,2026-08-28,L00550,Indore Central Police Station,Lucknow,Closed,Crime Branch,DOC01181,0.89,2024-09-02 07:29:00,2024-09-10 13:29:00
C00123,FIR/2024/9708,Economic,Burglary,2024-04-01,2024-03-10,L00171,Indore Central Police Station,Ahmedabad,Under Investigation,Economic Offences Unit,DOC02716,0.83,2026-08-12 21:38:02,2026-09-04 23:59:59
C00124,FIR/2025/3229,Cyber,Illegal Gambling,2025-02-27,2025-01-28,L00341,Vadodara Central Police Station,Mumbai,Pending Trial,Local Police,DOC01392,0.9,2026-07-14 03:34:52,2026-08-08 10:34:52
C00125,FIR/2025/3492,Organized Crime,Forgery,2025-09-14,2025-08-16,L00541,Lucknow Central Police Station,Pune,Closed,Local Police,DOC01552,0.82,2026-08-18 01:49:31,2026-08-19 09:49:31
