source_id,source_type,source_name,source_system,source_organization,collection_method,reliability_score,access_level,data_classification,created_at,updated_at
SRCU008,CCTV,Synthetic CCTV Evidence Repository 008,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Synthetic feed,0.84,Restricted,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU009,DOCUMENT,Synthetic Unstructured Document Repository 009,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Analyst upload,0.83,Investigator,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU010,CCTV,Synthetic CCTV Evidence Repository 010,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,OCR extraction,0.79,Investigator,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU011,DOCUMENT,Synthetic Unstructured Document Repository 011,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,OCR extraction,0.82,Analyst,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU012,CCTV,Synthetic CCTV Evidence Repository 012,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Synthetic feed,0.82,Restricted,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU013,DOCUMENT,Synthetic Unstructured Document Repository 013,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,OCR extraction,0.87,Analyst,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU014,OCR,Synthetic OCR Processing Store 014,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Analyst upload,0.81,Analyst,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU015,DOCUMENT,Synthetic Unstructured Document Repository 015,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,OCR extraction,0.82,Investigator,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU016,INTELLIGENCE_REPORT,Synthetic Intelligence Notes Repository 016,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,OCR extraction,0.75,Restricted,Internal,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU017,INTELLIGENCE_REPORT,Synthetic Intelligence Notes Repository 017,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,OCR extraction,0.93,Restricted,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU018,CCTV,Synthetic CCTV Evidence Repository 018,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Document ingestion,0.95,Investigator,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU019,OCR,Synthetic OCR Processing Store 019,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Synthetic feed,0.79,Investigator,Sensitive,2026-01-01 00:00:00,2026-09-01 00:00:00
SRCU020,OCR,Synthetic OCR Processing Store 020,CKG Unstructured Evidence Pipeline,Synthetic Investigative Records Unit,Document ingestion,0.91,Investigator,Restricted,2026-01-01 00:00:00,2026-09-01 00:00:00
