resolution_id,record_1_type,record_1_id,record_2_type,record_2_id,similarity_score,matching_features,resolution_result,resolution_method,confidence_score,verified,created_at
RES000025,ALIAS,AL001309,PERSON,P02212,0.9640,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9023,True,2025-08-21 21:10:53
RES000026,ALIAS,AL000008,PERSON,P00029,0.9650,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9176,True,2025-09-16 03:16:20
RES000027,ALIAS,AL000218,PERSON,P00310,0.9660,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8507,True,2026-04-23 22:13:03
RES000028,ALIAS,AL004002,PERSON,P02446,0.9670,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8715,True,2026-03-15 05:52:54
RES000029,ALIAS,AL001098,PERSON,P01365,0.9680,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8792,True,2025-01-29 00:13:19
RES000030,ALIAS,AL000150,PERSON,P00884,0.9690,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9099,True,2025-12-31 13:32:27
RES000031,ALIAS,AL004003,PERSON,P02048,0.9700,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9366,True,2026-03-26 18:37:10
RES000032,ALIAS,AL000332,PERSON,P00482,0.9710,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9192,True,2025-07-29 23:12:29
RES000033,ALIAS,AL000432,PERSON,P00803,0.9720,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9538,True,2025-03-18 16:23:01
RES000034,ALIAS,AL000820,PERSON,P01260,0.9730,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8808,True,2025-01-07 13:20:32
RES000035,ALIAS,AL000793,PERSON,P00890,0.9740,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9301,True,2025-02-02 06:46:49
RES000036,ALIAS,AL000812,PERSON,P02091,0.9750,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9306,True,2026-05-10 05:55:07
RES000037,ALIAS,AL001281,PERSON,P01306,0.9760,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9103,True,2026-05-19 08:05:51
RES000038,ALIAS,AL000144,PERSON,P00433,0.9770,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8516,True,2026-07-18 09:30:38
RES000039,ALIAS,AL000943,PERSON,P01206,0.9780,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8685,True,2025-11-10 05:13:26
RES000040,ALIAS,AL000350,PERSON,P00613,0.9790,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9324,True,2025-11-15 10:04:21
RES000041,ALIAS,AL000615,PERSON,P01754,0.9400,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8811,True,2026-03-31 20:15:28
RES000042,ALIAS,AL000807,PERSON,P01041,0.9410,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8968,True,2026-04-05 02:03:42
RES000043,ALIAS,AL000326,PERSON,P01059,0.9420,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8503,True,2025-09-22 18:52:42
RES000044,ALIAS,AL000095,PERSON,P00342,0.9430,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8850,True,2025-07-28 00:53:12
RES000045,ALIAS,AL000358,PERSON,P00361,0.9440,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9080,True,2025-03-30 18:42:15
RES000046,ALIAS,AL000685,PERSON,P00735,0.9450,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9265,True,2025-10-19 20:41:07
RES000047,ALIAS,AL000103,PERSON,P00114,0.9460,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9396,True,2025-01-26 21:33:38
RES000048,ALIAS,AL000301,PERSON,P00424,0.9470,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8667,True,2025-09-04 23:42:55
RES000049,ALIAS,AL000073,PERSON,P00318,0.9480,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8448,True,2026-01-28 04:40:22
RES000050,ALIAS,AL000574,PERSON,P01436,0.9490,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9582,True,2025-01-12 03:47:58
RES000051,ALIAS,AL001424,PERSON,P01579,0.9500,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9338,True,2025-05-25 04:04:08
RES000052,ALIAS,AL000100,PERSON,P00315,0.9510,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9075,True,2025-02-26 06:28:11
RES000053,ALIAS,AL000964,PERSON,P01189,0.9520,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9430,True,2025-04-02 20:22:48
RES000054,ALIAS,AL000026,PERSON,P00080,0.9530,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8722,True,2025-08-28 17:08:48
RES000055,ALIAS,AL000013,PERSON,P00170,0.9540,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8588,True,2025-03-04 18:15:59
RES000056,ALIAS,AL000764,PERSON,P00971,0.9550,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8501,True,2025-10-11 18:38:06
RES000057,ALIAS,AL000237,PERSON,P01241,0.9560,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8714,True,2025-05-04 20:57:27
RES000058,ALIAS,AL000043,PERSON,P00287,0.9570,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8662,True,2026-03-02 14:13:04
RES000059,ALIAS,AL000117,PERSON,P01430,0.9580,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9325,True,2025-12-11 13:45:16
RES000060,ALIAS,AL000161,PERSON,P00699,0.9590,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8762,True,2026-06-05 09:25:05
RES000061,ALIAS,AL000138,PERSON,P00708,0.9600,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9092,True,2025-02-01 17:10:28
RES000062,ALIAS,AL000331,PERSON,P00976,0.9610,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8967,True,2025-06-02 22:44:57
RES000063,ALIAS,AL000102,PERSON,P00571,0.9620,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8997,True,2026-03-30 12:11:27
RES000064,ALIAS,AL001323,PERSON,P01349,0.9630,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9348,True,2025-06-14 13:46:16
RES000065,ALIAS,AL000337,PERSON,P00705,0.9640,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8413,True,2026-05-23 14:41:19
RES000066,ALIAS,AL000303,PERSON,P00363,0.9650,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9050,True,2025-03-26 22:44:06
RES000067,ALIAS,AL000241,PERSON,P00686,0.9660,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9126,True,2025-01-18 04:06:11
RES000068,ALIAS,AL000089,PERSON,P00219,0.9670,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9321,True,2025-07-12 19:18:17
RES000069,ALIAS,AL004004,PERSON,P02374,0.9680,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9515,True,2026-05-04 22:16:21
RES000070,ALIAS,AL000309,PERSON,P00963,0.9690,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8429,True,2025-10-05 07:46:54
RES000071,ALIAS,AL001069,PERSON,P01125,0.9700,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8806,True,2025-07-21 18:00:34
RES000072,ALIAS,AL000334,PERSON,P00904,0.9710,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9486,True,2025-10-15 21:28:16
RES000073,ALIAS,AL000256,PERSON,P00779,0.9720,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9145,True,2026-01-10 04:30:26
RES000074,ALIAS,AL000356,PERSON,P01873,0.9730,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8903,True,2026-01-17 04:36:05
RES000075,ALIAS,AL001083,PERSON,P01178,0.9740,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9144,True,2026-04-16 09:47:39
RES000076,ALIAS,AL000380,PERSON,P01220,0.9750,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8983,True,2025-07-01 08:12:45
RES000077,ALIAS,AL000313,PERSON,P00354,0.9760,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9269,True,2026-06-23 20:51:23
RES000078,ALIAS,AL001026,PERSON,P01893,0.9770,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9414,True,2025-02-17 18:54:40
RES000079,ALIAS,AL001594,PERSON,P02668,0.9780,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8438,True,2026-05-30 08:27:29
RES000080,ALIAS,AL000182,PERSON,P00230,0.9790,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8886,True,2025-11-21 19:37:19
RES000081,ALIAS,AL000436,PERSON,P00646,0.9400,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8698,True,2025-11-20 06:35:25
RES000082,ALIAS,AL000552,PERSON,P00916,0.9410,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9531,True,2026-07-07 02:21:33
RES000083,ALIAS,AL000125,PERSON,P03237,0.9420,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8421,True,2025-06-21 00:33:06
RES000084,ALIAS,AL001073,PERSON,P01093,0.9430,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9276,True,2026-08-09 14:36:32
RES000085,ALIAS,AL004005,PERSON,P02479,0.9440,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8511,True,2026-03-30 05:12:01
RES000086,ALIAS,AL000072,PERSON,P00083,0.9450,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8592,True,2026-07-25 18:16:04
RES000087,ALIAS,AL000728,PERSON,P01090,0.9460,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9551,True,2026-02-14 18:54:20
RES000088,ALIAS,AL000010,PERSON,P01570,0.9470,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8949,True,2025-11-23 15:01:32
RES000089,ALIAS,AL000312,PERSON,P01328,0.9480,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8502,True,2025-02-18 05:11:30
RES000090,ALIAS,AL000263,PERSON,P01146,0.9490,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8522,True,2025-04-02 02:05:30
RES000091,ALIAS,AL000951,PERSON,P01005,0.9500,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9384,True,2026-08-01 07:07:37
RES000092,ALIAS,AL000879,PERSON,P01159,0.9510,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8670,True,2025-10-13 11:22:41
RES000093,ALIAS,AL000323,PERSON,P00746,0.9520,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9514,True,2025-09-26 09:21:01
RES000094,ALIAS,AL000295,PERSON,P01359,0.9530,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8647,True,2025-08-17 10:31:50
RES000095,ALIAS,AL000030,PERSON,P00316,0.9540,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9295,True,2025-05-21 05:21:40
RES000096,ALIAS,AL000493,PERSON,P00920,0.9550,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9362,True,2026-03-19 20:38:01
RES000097,ALIAS,AL000206,PERSON,P00536,0.9560,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8559,True,2026-02-11 21:27:34
RES000098,ALIAS,AL000437,PERSON,P00518,0.9570,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8791,True,2025-02-05 03:24:23
RES000099,ALIAS,AL000116,PERSON,P00658,0.9580,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8560,True,2025-03-08 23:30:43
RES000100,ALIAS,AL004006,PERSON,P01733,0.9590,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9099,True,2025-12-24 01:35:03
RES000101,ALIAS,AL000417,PERSON,P01265,0.9600,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9025,True,2025-02-03 16:41:32
RES000102,ALIAS,AL000052,PERSON,P00502,0.9610,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8424,True,2026-05-09 03:22:21
RES000103,ALIAS,AL000280,PERSON,P01553,0.9620,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8977,True,2025-08-08 07:06:05
RES000104,ALIAS,AL000271,PERSON,P01858,0.9630,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8869,True,2025-03-06 14:35:56
RES000105,ALIAS,AL000328,PERSON,P00349,0.9640,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8925,True,2026-01-04 18:03:08
RES000106,ALIAS,AL000366,PERSON,P00671,0.9650,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8497,True,2026-07-12 05:33:16
RES000107,ALIAS,AL000527,PERSON,P01177,0.9660,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9471,True,2026-07-30 02:05:56
RES000108,ALIAS,AL000483,PERSON,P01007,0.9670,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8679,True,2025-09-03 11:10:26
RES000109,ALIAS,AL000037,PERSON,P00398,0.9680,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8481,True,2026-02-04 05:27:10
RES000110,ALIAS,AL000441,PERSON,P02735,0.9690,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8443,True,2026-02-01 08:03:59
RES000111,ALIAS,AL001003,PERSON,P02754,0.9700,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9510,True,2026-07-17 07:19:30
RES000112,ALIAS,AL000556,PERSON,P01161,0.9710,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9357,True,2025-09-24 04:09:16
RES000113,ALIAS,AL000782,PERSON,P02235,0.9720,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8628,True,2025-10-25 05:40:15
RES000114,ALIAS,AL000203,PERSON,P00645,0.9730,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8879,True,2026-08-18 00:11:03
RES000115,ALIAS,AL000110,PERSON,P01652,0.9740,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9263,True,2025-03-11 00:59:51
RES000116,ALIAS,AL000488,PERSON,P01205,0.9750,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9230,True,2025-07-24 06:01:22
RES000117,ALIAS,AL000397,PERSON,P01877,0.9760,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8554,True,2025-11-26 17:33:37
RES000118,ALIAS,AL000233,PERSON,P00762,0.9770,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8429,True,2025-06-21 21:18:19
RES000119,ALIAS,AL000379,PERSON,P00600,0.9780,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9542,True,2025-10-16 21:07:35
RES000120,ALIAS,AL001114,PERSON,P01817,0.9790,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8779,True,2025-08-02 23:54:08
RES000121,ALIAS,AL000015,PERSON,P00022,0.9400,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8437,True,2026-06-28 01:21:59
RES000122,ALIAS,AL000477,PERSON,P00533,0.9410,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8510,True,2026-01-22 02:38:31
RES000123,ALIAS,AL000340,PERSON,P00561,0.9420,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8647,True,2025-08-22 03:57:12
RES000124,ALIAS,AL000741,PERSON,P02194,0.9430,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8426,True,2025-09-11 15:21:33
RES000125,ALIAS,AL000844,PERSON,P01544,0.9440,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8986,True,2025-09-27 21:22:46
RES000126,ALIAS,AL000529,PERSON,P00832,0.9450,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8579,True,2025-04-25 05:58:56
RES000127,ALIAS,AL000451,PERSON,P01139,0.9460,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9568,True,2025-09-07 00:28:02
RES000128,ALIAS,AL000487,PERSON,P01079,0.9470,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8744,True,2026-06-07 21:25:08
RES000129,ALIAS,AL001001,PERSON,P01172,0.9480,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8523,True,2026-06-07 22:17:55
RES000130,ALIAS,AL000606,PERSON,P01445,0.9490,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8981,True,2025-06-02 14:09:15
RES000131,ALIAS,AL000401,PERSON,P00873,0.9500,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9277,True,2025-01-07 22:18:30
RES000132,ALIAS,AL000311,PERSON,P01329,0.9510,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9127,True,2026-03-04 09:23:09
RES000133,ALIAS,AL001394,PERSON,P01512,0.9520,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8991,True,2026-02-01 20:33:22
RES000134,ALIAS,AL000177,PERSON,P00272,0.9530,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9030,True,2025-06-09 16:17:09
RES000135,ALIAS,AL000119,PERSON,P00360,0.9540,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8793,True,2026-02-08 02:47:11
RES000136,ALIAS,AL000403,PERSON,P00603,0.9550,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9114,True,2025-10-12 09:03:16
RES000137,ALIAS,AL000677,PERSON,P01921,0.9560,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9409,True,2025-06-23 15:22:40
RES000138,ALIAS,AL000727,PERSON,P01833,0.9570,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8957,True,2025-10-17 21:45:08
RES000139,ALIAS,AL000057,PERSON,P00141,0.9580,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9575,True,2025-09-24 16:46:35
RES000140,ALIAS,AL000054,PERSON,P01894,0.9590,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9566,True,2026-05-13 16:26:30
RES000141,ALIAS,AL000185,PERSON,P00508,0.9600,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9416,True,2026-04-29 21:00:34
RES000142,ALIAS,AL000534,PERSON,P01124,0.9610,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9515,True,2026-03-31 10:57:51
RES000143,ALIAS,AL000246,PERSON,P00656,0.9620,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8997,True,2025-03-16 23:31:41
RES000144,ALIAS,AL000273,PERSON,P01640,0.9630,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9031,True,2025-11-03 23:46:37
RES000145,ALIAS,AL000189,PERSON,P00750,0.9640,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9163,True,2025-02-22 03:24:31
RES000146,ALIAS,AL001209,PERSON,P01793,0.9650,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.9210,True,2025-07-13 13:45:57
RES000147,ALIAS,AL001193,PERSON,P02185,0.9660,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.8575,True,2025-07-06 01:44:27
RES000148,ALIAS,AL000250,PERSON,P00776,0.9670,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9497,True,2025-12-05 21:31:07
RES000149,ALIAS,AL000357,PERSON,P00452,0.9680,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8477,True,2025-02-13 21:47:11
RES000150,ALIAS,AL000209,PERSON,P00275,0.9690,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9560,True,2025-01-27 15:05:39
RES000151,ALIAS,AL000076,PERSON,P00279,0.9700,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9338,True,2025-08-13 23:59:26
RES000152,ALIAS,AL000899,PERSON,P03324,0.9710,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8535,True,2025-04-28 05:52:09
RES000153,ALIAS,AL001187,PERSON,P01838,0.9720,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8873,True,2026-08-06 15:25:28
RES000154,ALIAS,AL000265,PERSON,P00783,0.9730,phonetic_similarity;identifier_mismatch,DIFFERENT_ENTITY,HYBRID,0.9168,True,2025-05-01 13:57:30
RES000155,ALIAS,AL000497,PERSON,P00680,0.9740,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.9297,True,2026-07-02 06:52:28
RES000156,ALIAS,AL000132,PERSON,P00368,0.9750,name_similarity;different_identifier,DIFFERENT_ENTITY,HYBRID,0.8821,True,2025-03-29 13:02:18
RES000157,ALIAS,AL000002,PERSON,P00040,0.9760,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8431,True,2025-05-14 08:52:05
RES000158,ALIAS,AL000412,PERSON,P00874,0.9770,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.9306,True,2026-05-18 04:16:05
RES000159,ALIAS,AL000006,PERSON,P00446,0.9780,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8645,True,2025-05-04 07:10:33
RES000160,ALIAS,AL000602,PERSON,P00702,0.9790,name_similarity;different_source,DIFFERENT_ENTITY,HYBRID,0.8418,True,2025-10-12 01:26:27
RES000161,ALIAS,AL000061,PERSON,P00521,0.9400,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8611,True,2026-01-28 15:40:47
RES000162,ALIAS,AL000474,PERSON,P00804,0.9410,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9003,True,2025-10-29 17:17:26
RES000163,ALIAS,AL004007,PERSON,P03903,0.9420,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9369,True,2026-06-30 01:37:22
RES000164,ALIAS,AL000186,PERSON,P00438,0.9430,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.9377,True,2026-03-23 12:50:15
RES000165,ALIAS,AL001203,PERSON,P01305,0.9440,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8978,True,2026-05-16 10:33:10
RES000166,ALIAS,AL000307,PERSON,P00468,0.9450,name_similarity;conflicting_location,DIFFERENT_ENTITY,HYBRID,0.8512,True,2026-06-03 07:23:38
RES000167,ALIAS,AL000555,PERSON,P00829,0.9460,shared_name;different_source_context,DIFFERENT_ENTITY,HYBRID,0.8593,True,2025-12-16 18:45:50
